"","19CS_20CS","19TA_20CS","20CS_20CS","20LY_20CS","19CS_20LY","19TA_20LY","20CS_20LY","20LY_20LY","wavelength"
"3547",0.663600020305272,0.645622915996315,0.696500836709766,0.655049082161073,0.671282539651912,0.647725276481341,0.654879394085439,0.715461257358661,2173
"3548",0.66352860902155,0.645532296515012,0.696392491599023,0.655017932611559,0.671222414857112,0.647684793039677,0.654756346482613,0.71543471423961,2173.5
"3549",0.663456519274517,0.645440352456148,0.696283961030324,0.654986759341474,0.671160491170828,0.647642175125207,0.654631369732027,0.715408210741165,2174
"3550",0.663383468084894,0.64534694994675,0.696175299015733,0.654955287677935,0.671096858329775,0.647597418971283,0.654504707164231,0.715381642915443,2174.5
"3551",0.663309020755474,0.645251769644279,0.696066288644776,0.654923395891244,0.671031712008089,0.647551201605484,0.654376671595673,0.715355138308475,2175
"3552",0.663233158833781,0.645154987994088,0.695956929219804,0.654891299564814,0.670965438117693,0.647504123359681,0.654247675351125,0.715328985558742,2175.5
"3553",0.663155543661041,0.645056548161303,0.695846980740818,0.654858911817918,0.670898326722056,0.647456748790895,0.654118047572229,0.715303086736164,2176
"3554",0.663076346738336,0.6449567074486,0.695736601279241,0.654826938745565,0.670830794218414,0.647409808494567,0.653988350049523,0.715277946600781,2176.5
"3555",0.662995629599436,0.644855674991197,0.69562578709888,0.654795738817827,0.670763285504393,0.647363887819329,0.653859037185899,0.715253873494021,2177
"3556",0.662913751521519,0.644753900470165,0.695514647934667,0.654765915161147,0.670696108691122,0.647319205690176,0.653730279280351,0.715230998646087,2177.5
"3557",0.662831025151564,0.644651752502671,0.695403377631881,0.654738045040505,0.67062953023807,0.64727574693993,0.653602299966764,0.715209569313419,2178
"3558",0.662747636200056,0.644549340249446,0.695291893675419,0.654712157120084,0.670563841302751,0.647233474856377,0.653475355060402,0.715189714815761,2178.5
"3559",0.662663761120053,0.644446728330325,0.695180160772111,0.654688515855945,0.670499044726246,0.647191896977933,0.653349255522183,0.71517172888841,2179
"3560",0.662579554281403,0.644343964940034,0.69506813649592,0.654666943012741,0.670435054064551,0.647150357484346,0.653223790433994,0.715155378609538,2179.5
"3561",0.662495226589233,0.644241056536817,0.694955603573202,0.65464723514517,0.670371740784684,0.647108529848042,0.653098602456585,0.715140693989563,2180
"3562",0.662410808322677,0.644137847013824,0.694842333025601,0.654628907539748,0.670308727119949,0.647065588217683,0.652973273062998,0.715127499898139,2180.5
"3563",0.662326322648451,0.64403405342762,0.69472806395278,0.654611361413952,0.67024553961171,0.647021059210558,0.652847234047709,0.71511551893747,2181
"3564",0.662241906726617,0.643929744804869,0.694612661265553,0.654594143356858,0.670181854795825,0.646974441522632,0.652719869050418,0.715104327904125,2181.5
"3565",0.662157574253832,0.643824857633592,0.69449599363099,0.654576718423079,0.670117063347639,0.646925413349067,0.652590749779603,0.715093603709589,2182
"3566",0.662073375789707,0.643719454501661,0.694377967481008,0.654558693759516,0.670050640901677,0.646874017300984,0.652459245120497,0.715082710341214,2182.5
"3567",0.661989400234646,0.643613804178087,0.694258962913824,0.654539737029003,0.669982190647151,0.64682012710362,0.652325137000824,0.715071227119064,2183
"3568",0.661905456951199,0.643507942287815,0.694139152397073,0.654519520206914,0.669911146689855,0.64676374510011,0.652188149657459,0.71505848805257,2183.5
"3569",0.661821593502873,0.64340223100671,0.694018926018082,0.654498006058065,0.669837267798319,0.646705307616983,0.65204821422729,0.715043940977671,2184
"3570",0.661737572153383,0.643296839169825,0.693898683722561,0.654475099388844,0.669760280508814,0.646645036288326,0.651905373928548,0.715027284052226,2184.5
"3571",0.661653309957011,0.64319184498658,0.693778863403947,0.654450575988616,0.669680046060179,0.646582910682088,0.651759757554416,0.715007803877968,2185
"3572",0.661568590062708,0.643087324601098,0.693659809179201,0.654424520611731,0.669596831172247,0.646519347698905,0.651611787892111,0.714985548503906,2185.5
"3573",0.661483482020238,0.642983560160215,0.69354180935565,0.6543969743489,0.669510756369567,0.646454488215971,0.651461624667516,0.714960320190993,2186
"3574",0.661398019391805,0.642880344129131,0.693424931912482,0.654368053337346,0.669422615545045,0.646388497118943,0.651309955017719,0.714932484512739,2186.5
"3575",0.661312176009603,0.642777792676578,0.693309230854217,0.654337696944489,0.669332912312933,0.646321753250732,0.651157134828718,0.714902417920959,2187
"3576",0.661225868775796,0.642675631115696,0.693194517137334,0.65430595220772,0.669242341510189,0.646254364601319,0.651003564986205,0.714870569734521,2187.5
"3577",0.661139372554345,0.642574004993356,0.693080717732726,0.65427313146748,0.669151592165686,0.646186537744706,0.650849806453546,0.714837879812189,2188
"3578",0.661052493501705,0.642472705331829,0.692967440394292,0.654239179250962,0.669061171732449,0.646118723029407,0.650696178801992,0.714804954452125,2188.5
"3579",0.660965092452187,0.642371802024657,0.692854324987742,0.654204144729771,0.668971472179629,0.646051348311126,0.650542853929079,0.714772518119808,2189
"3580",0.660877083657964,0.642271376657776,0.692741074964326,0.654168184384373,0.668882495890097,0.645984800839108,0.650390230738704,0.714741114215148,2189.5
"3581",0.66078814234077,0.642171481033183,0.692627203165404,0.654131241911171,0.668794258264276,0.645919837767674,0.650238317369726,0.714710954211123,2190
"3582",0.660698232704621,0.642072377807773,0.692512456752274,0.654093660528765,0.668706484166024,0.645857033225255,0.650087198557663,0.71468222405821,2190.5
"3583",0.660607168549414,0.641973978087427,0.692396547878921,0.654055397590349,0.66861907271871,0.645796647502232,0.64993690019229,0.714654720689604,2191
"3584",0.660515133045623,0.641876778381797,0.692279368071379,0.654016955013607,0.668531804919502,0.645739297781175,0.649787394802187,0.714628354321798,2191.5
"3585",0.660422312916253,0.641780635779389,0.692160941876693,0.653978614681769,0.668444534106367,0.645684692032821,0.64963854217774,0.714602715940781,2192
"3586",0.660329054990274,0.641685533357552,0.692041465147136,0.653940804237175,0.668357221382494,0.645632908133942,0.649490358283432,0.714577451218699,2192.5
"3587",0.660235990764573,0.64159132793403,0.691921102312741,0.653903916012084,0.668270177618996,0.64558321451192,0.649342728769308,0.714552421657885,2193
"3588",0.660143451514219,0.641497794281925,0.691800235790561,0.653868330708594,0.668183264704334,0.645534941316809,0.649195378102815,0.714527511990155,2193.5
"3589",0.660052126574413,0.641404602497873,0.691679390044671,0.653834469694144,0.668096795332285,0.645487111395096,0.649048295522842,0.714502634007119,2194
"3590",0.659962198790036,0.641311137134131,0.691558862697516,0.653802225718209,0.668010676862455,0.645438650217846,0.648901200399927,0.714477967149714,2194.5
"3591",0.659874315978801,0.641217388035183,0.691439407448682,0.653772076464656,0.667924911003092,0.645388838969673,0.648754024461656,0.71445360281836,2195
"3592",0.659788296316114,0.641123013480888,0.691321120382269,0.653743592661872,0.66783947024624,0.645336864641686,0.648606688007105,0.71442983978559,2195.5
"3593",0.659704316019663,0.641027736069749,0.691204393005732,0.653716680651607,0.667754175134254,0.645282137563958,0.648459009970836,0.714406667932335,2196
"3594",0.65962216695109,0.640931732370897,0.69108948900218,0.653691237330937,0.667668834599195,0.645224411023573,0.648311224679518,0.71438449770335,2196.5
"3595",0.659541705429211,0.640835116835289,0.6909765708467,0.653666922529818,0.667583564922647,0.645163913627376,0.648163543626427,0.714363364715394,2197
"3596",0.65946287847838,0.640738168926748,0.690865787194059,0.653643880007347,0.667498182354372,0.645100624708504,0.648016111710695,0.714343311374255,2197.5
"3597",0.659385371663885,0.640641193865161,0.690757081863415,0.653621827831439,0.667412741933476,0.645035080249314,0.647869364179462,0.71432427195296,2198
"3598",0.659309031320325,0.640544478314628,0.690650399769986,0.653600880392921,0.667327491697477,0.644967783106811,0.647723673941474,0.714306206812026,2198.5
"3599",0.659233826441439,0.64044826298402,0.690545663437031,0.653581130782031,0.667242571314162,0.644899098112226,0.64757938161957,0.714288894732421,2199
"3600",0.659159575137405,0.640352781754223,0.690442740294156,0.653562620033308,0.667157876539564,0.644829585739296,0.647436474093188,0.714271916779688,2199.5
"3601",0.659086314674077,0.640258243251661,0.690341471098012,0.6535457282589,0.66707368814755,0.644759474370544,0.647295127686154,0.714255241196653,2200
