"","V1","V2"
"0.781648735162909",0.781648735162909,8.8355842655019e-40
"0.781751195311578",0.781751195311578,8.5042199082015e-40
"0.781851480215483",0.781851480215483,8.19176400916708e-40
"0.781950586914617",0.781950586914617,7.89410541061786e-40
"0.782049157232792",0.782049157232792,7.60864040863357e-40
"0.782146958563439",0.782146958563439,7.33546673567374e-40
"0.782244195066188",0.782244195066188,7.07346178994854e-40
"0.782340469000522",0.782340469000522,6.82314553142156e-40
"0.782436005005673",0.782436005005673,6.5833859095597e-40
"0.782531179703032",0.782531179703032,6.35279637089566e-40
"0.782625883211618",0.782625883211618,6.13125629994268e-40
"0.782721148405195",0.782721148405195,5.91609006308809e-40
"0.782817514513941",0.782817514513941,5.70601386287652e-40
"0.782915692546379",0.782915692546379,5.49955290482479e-40
"0.783016496367356",0.783016496367356,5.2952346320274e-40
"0.783120016871159",0.783120016871159,5.09320037561607e-40
"0.783226519352613",0.783226519352613,4.89327895791897e-40
"0.783335568463027",0.783335568463027,4.69659552796272e-40
"0.783445972881398",0.783445972881398,4.50541083266962e-40
"0.783556674263786",0.783556674263786,4.32141982744763e-40
"0.783666693269831",0.783666693269831,4.14590727067351e-40
"0.783774084449948",0.783774084449948,3.98137097370378e-40
"0.783877792715055",0.783877792715055,3.82859391400856e-40
"0.7839764273219",0.7839764273219,3.68865992111938e-40
"0.784069138828635",0.784069138828635,3.56173211828313e-40
"0.784155658425498",0.784155658425498,3.44717052339212e-40
"0.784235107578616",0.784235107578616,3.34517489719266e-40
"0.784308418141205",0.784308418141205,3.25370237322951e-40
"0.784376344995179",0.784376344995179,3.17115065625525e-40
"0.784439642139175",0.784439642139175,3.09608580505516e-40
"0.784499216910664",0.784499216910664,3.02703696324268e-40
"0.784555874832534",0.784555874832534,2.96277833280453e-40
"0.7846107741994",0.7846107741994,2.90179774925555e-40
"0.784664017429418",0.784664017429418,2.84383934670478e-40
"0.784716191866695",0.784716191866695,2.78815202827147e-40
"0.784767247858089",0.784767247858089,2.73469966884817e-40
"0.784817216874132",0.784817216874132,2.68336398424624e-40
"0.784866491579871",0.784866491579871,2.63367232026275e-40
"0.784914828426172",0.784914828426172,2.58580830361304e-40
"0.78496277398027",0.78496277398027,2.53917925434704e-40
"0.78501046098198",0.78501046098198,2.49362421198839e-40
"0.785058473822987",0.785058473822987,2.44857214337924e-40
"0.785107218507168",0.785107218507168,2.40365443616763e-40
"0.785157177783021",0.785157177783021,2.35846060097595e-40
"0.785208619232293",0.785208619232293,2.31280148097665e-40
"0.785261317707616",0.785261317707616,2.26693045574229e-40
"0.78531546700734",0.78531546700734,2.22073103335816e-40
"0.785371200618369",0.785371200618369,2.17414941397187e-40
"0.785428596308085",0.785428596308085,2.12718560297419e-40
"0.785487768291681",0.785487768291681,2.07981554532195e-40
"0.785548978839616",0.785548978839616,2.03190799526433e-40
"0.785612238048599",0.785612238048599,1.98354034880509e-40
"0.785677929806628",0.785677929806628,1.934514306909e-40
"0.785746237988913",0.785746237988913,1.88480268782372e-40
"0.78581714622216",0.78581714622216,1.83453124213989e-40
"0.785891017318307",0.785891017318307,1.78356525349301e-40
"0.785967679802082",0.785967679802082,1.73214960598451e-40
"0.786046868864387",0.786046868864387,1.68057398234566e-40
"0.786128285917619",0.786128285917619,1.62912611590177e-40
"0.786212183559342",0.786212183559342,1.5777355075276e-40
"0.786297963771841",0.786297963771841,1.52684464168438e-40
"0.78638593071218",0.78638593071218,1.47633764174216e-40
"0.786476200856422",0.786476200856422,1.42622108437691e-40
"0.786569118336801",0.786569118336801,1.37638694076735e-40
"0.786665481833852",0.786665481833852,1.32651824538205e-40
"0.786765737220322",0.786765737220322,1.27652636863186e-40
"0.786870747819487",0.786870747819487,1.2261550468453e-40
"0.786980652650363",0.786980652650363,1.17553484887721e-40
"0.787095867414816",0.787095867414816,1.12468102699681e-40
"0.787216112916403",0.787216112916403,1.07391991798206e-40
"0.787340573663961",0.787340573663961,1.02375871464795e-40
"0.787468402451442",0.787468402451442,9.74645396734628e-41
"0.787598452272068",0.787598452272068,9.27063692270829e-41
"0.787729294352581",0.787729294352581,8.81504809871266e-41
"0.787859587900738",0.787859587900738,8.38332260554898e-41
"0.787988521316615",0.787988521316615,7.97664407469804e-41
"0.788115506827241",0.788115506827241,7.59514031569934e-41
"0.788240433561465",0.788240433561465,7.2373937282623e-41
"0.788363681693519",0.788363681693519,6.90074949338424e-41
"0.788486114833233",0.788486114833233,6.58162970949106e-41
"0.78860840891814",0.78860840891814,6.27740814479104e-41
"0.788731776225664",0.788731776225664,5.98457228307477e-41
"0.78885701802988",0.78885701802988,5.70107070764382e-41
"0.788985214484501",0.788985214484501,5.42459943224101e-41
"0.789116575707923",0.789116575707923,5.15502028913108e-41
"0.789251345051525",0.789251345051525,4.89217886122445e-41
"0.7893894310141",0.7893894310141,4.63657920574927e-41
"0.789531098330572",0.789531098330572,4.38803856160666e-41
"0.789675477948094",0.789675477948094,4.14826139390809e-41
"0.789822853675092",0.789822853675092,3.916837785946e-41
"0.789972584255188",0.789972584255188,3.69475980765255e-41
"0.79012462966987",0.79012462966987,3.48195992565008e-41
"0.790278886694897",0.790278886694897,3.27842132628959e-41
"0.790435035680805",0.790435035680805,3.08434181015775e-41
"0.790592940773303",0.790592940773303,2.89960744893861e-41
"0.790752679483284",0.790752679483284,2.72383561204813e-41
"0.790914049197907",0.790914049197907,2.55694392074662e-41
"0.791077155554694",0.791077155554694,2.39850906421742e-41
"0.791241647866509",0.791241647866509,2.24853864125917e-41
"0.791407627743404",0.791407627743404,2.10659066184457e-41
"0.791574522160155",0.791574522160155,1.97277672642769e-41
"0.791742496090553",0.791742496090553,1.84656676927795e-41
"0.7919110386584",0.7919110386584,1.72793854080685e-41
"0.792080165546137",0.792080165546137,1.61645925994202e-41
"0.792249572075083",0.792249572075083,1.51191146337004e-41
"0.792418850281527",0.792418850281527,1.41410914665282e-41
"0.792588235152992",0.792588235152992,1.32249525411115e-41
"0.792757415896922",0.792757415896922,1.23683932563002e-41
"0.792926424225557",0.792926424225557,1.15673803613081e-41
"0.793095278891915",0.793095278891915,1.08182278398481e-41
"0.79326404771506",0.79326404771506,1.01173073194934e-41
"0.793433121330765",0.793433121330765,9.46006324923737e-42
"0.793602426346997",0.793602426346997,8.84414606775094e-42
"0.793772208997658",0.793772208997658,8.26623604236955e-42
"0.793942426613819",0.793942426613819,7.72425915198724e-42
"0.794113202797043",0.794113202797043,7.2157476104369e-42
"0.794284652169852",0.794284652169852,6.73846687408826e-42
"0.794456471778545",0.794456471778545,6.29141507962661e-42
"0.794628726930016",0.794628726930016,5.87261431895204e-42
"0.794801533308502",0.794801533308502,5.48012084205788e-42
"0.794974670081839",0.794974670081839,5.11284265277527e-42
"0.795147763565136",0.795147763565136,4.76994379684374e-42
"0.795321256548313",0.795321256548313,4.44903042341561e-42
"0.795494499050655",0.795494499050655,4.14984622771554e-42
"0.795667587274739",0.795667587274739,3.87076149930329e-42
"0.795840689673922",0.795840689673922,3.61018253996954e-42
"0.796013491165689",0.796013491165689,3.3673275782708e-42
"0.796185985536999",0.796185985536999,3.14098760373723e-42
"0.796358123428533",0.796358123428533,2.93008685199261e-42
"0.796529841257221",0.796529841257221,2.73362840642799e-42
"0.796701092546092",0.796701092546092,2.55065377507224e-42
"0.796871664524533",0.796871664524533,2.38042342983675e-42
"0.797041556699248",0.797041556699248,2.2220200549036e-42
"0.797210705915727",0.797210705915727,2.07464700592448e-42
"0.797378803971343",0.797378803971343,1.93774953662544e-42
"0.797545990555981",0.797545990555981,1.81043970762341e-42
"0.797712012469345",0.797712012469345,1.6921881738378e-42
"0.797877250709802",0.797877250709802,1.58206574187384e-42
"0.798041393544207",0.798041393544207,1.4796780490835e-42
"0.798204472020345",0.798204472020345,1.38443241762566e-42
"0.798366592709441",0.798366592709441,1.29574541700759e-42
"0.798528081329768",0.798528081329768,1.21297981473471e-42
"0.798688774028912",0.798688774028912,1.13580251949388e-42
"0.798848722082611",0.798848722082611,1.06379676254472e-42
"0.799007852760554",0.799007852760554,9.96630911908353e-43
"0.799166359214843",0.799166359214843,9.33890206494461e-43
"0.799323884698137",0.799323884698137,8.75400858609809e-43
"0.799480651399675",0.799480651399675,8.20783375581152e-43
"0.799636495778824",0.799636495778824,7.69821647153167e-43
"0.799791317327453",0.799791317327453,7.22287413797966e-43
