"env","cor"
"19CS",0.346571925738824
"19TA",0.391316096889474
"20CS",0.390636749213801
"20LY",0.168984522663341
"19CS",0.19171096538909
"19TA",0.365109206098846
"20CS",0.342522914758052
"20LY",0.326135741044062
"19CS",0.220026608292272
"19TA",0.287865748390557
"20CS",0.311585543571894
"20LY",0.128910241271034
"19CS",0.387839150161028
"19TA",0.392955653675079
"20CS",0.430142485111757
"20LY",0.416290414265185
"19CS",0.056030595947483
"19TA",0.479817590037752
"20CS",0.239760139782167
"20LY",0.246103793504265
