"env","cor"
"19CS",0.591382522022936
"19TA",0.656908613179237
"20CS",0.75102937924418
"20LY",0.66633765013698
"19CS",0.601809652176456
"19TA",0.451873799043045
"20CS",0.654123138227933
"20LY",0.674424376612732
"19CS",0.646141951930975
"19TA",0.623882433297186
"20CS",0.780435863662868
"20LY",0.538777424693595
"19CS",0.645913076128107
"19TA",0.61681001321025
"20CS",0.755708941441908
"20LY",0.652080955130278
"19CS",0.698230408888987
"19TA",0.67210133387095
"20CS",0.675339022873552
"20LY",0.496851961863977
