"env","cor"
"19CS",0.591187865903476
"19TA",0.641778369693316
"20CS",0.766665520517447
"20LY",0.670650009178868
"19CS",0.609959042415163
"19TA",0.532486544945363
"20CS",0.684383870952932
"20LY",0.689893779626616
"19CS",0.656579945523481
"19TA",0.621757417830413
"20CS",0.783326309108279
"20LY",0.585780570997319
"19CS",0.665502201978206
"19TA",0.610452550841937
"20CS",0.743248058827755
"20LY",0.659320593941168
"19CS",0.686616777408824
"19TA",0.673251867025331
"20CS",0.680950933253204
"20LY",0.53105686991857
