pedigree,female,male,env,blue
A05210/RTx2937,A05210,RTx2937,19CS,67.145
A05210/RTx2938,A05210,RTx2938,19CS,67.115
A05210/RTx2943,A05210,RTx2943,19CS,67.61
A05269/R01302,A05269,R01302,19CS,67.52
A05269/R05330,A05269,R05330,19CS,68.42
A05269/R07161,A05269,R07161,19CS,66.755
A05269/R08303,A05269,R08303,19CS,68.41
A05269/R08306,A05269,R08306,19CS,68.205
A05269/R11208,A05269,R11208,19CS,68.36
A05269/R12156,A05269,R12156,19CS,68.03
A05269/RTx2919,A05269,RTx2919,19CS,67.735
A05269/RTx2936,A05269,RTx2936,19CS,67.415
A05269/RTx2943,A05269,RTx2943,19CS,66.86
A05269/RTx2944,A05269,RTx2944,19CS,67.065
A06035/R03248,A06035,R03248,19CS,67.75
A06035/R05330,A06035,R05330,19CS,67.42
A06035/R12154,A06035,R12154,19CS,67.24
A06035/RTx2913,A06035,RTx2913,19CS,66.74
A06035/RTx2917,A06035,RTx2917,19CS,66.89
A06035/RTx2920,A06035,RTx2920,19CS,68.125
A06035/RTx2936,A06035,RTx2936,19CS,67.295
A06035/RTx2943,A06035,RTx2943,19CS,68.16
A06036/R04104,A06036,R04104,19CS,66.565
A06036/R08306,A06036,R08306,19CS,67.95
A06036/R11158,A06036,R11158,19CS,66.915
A06036/R12156,A06036,R12156,19CS,68.295
A06036/RTx2919,A06036,RTx2919,19CS,68.38
A06036/RTx2940,A06036,RTx2940,19CS,68.35
A07118/R07161,A07118,R07161,19CS,66.175
A07118/R08224,A07118,R08224,19CS,66.31
A07118/R08304,A07118,R08304,19CS,67.87
A07118/R12145,A07118,R12145,19CS,67.69
A07118/R12148,A07118,R12148,19CS,67.275
A07118/R12157,A07118,R12157,19CS,66.735
A07118/RTx2919,A07118,RTx2919,19CS,67.685
A07118/RTx2944,A07118,RTx2944,19CS,67.26
A07124/R01302,A07124,R01302,19CS,67.16
A07124/R04060,A07124,R04060,19CS,67.565
A07124/R05330,A07124,R05330,19CS,67.725
A07124/R05425,A07124,R05425,19CS,67.3
A07124/R07178,A07124,R07178,19CS,66.62
A07124/R11158,A07124,R11158,19CS,67.505
A07124/R11208,A07124,R11208,19CS,67.95
