"","pedigree","female","male","env","blue","gy_mid_parent","ph_mid_parent","dy_mid_parent"
"1","A01021/R01302","A01021","R01302","19CS",7531.9794,2929.7055,106.045,68
"2","A01021/R02107","A01021","R02107","19CS",7209.1254,2575.60995,109.22,68
"10","A01021/R05425","A01021","R05425","19CS",7570.1686,3221.31215,96.52,66
"13","A01021/R07178","A01021","R07178","19CS",7569.3339,3858.4266,100.965,65.75
"19","A01021/R11158","A01021","R11158","19CS",8012.8451,3652.08675,107.315,65.75
"22","A01021/R12145","A01021","R12145","19CS",7570.8225,3462.1836,107.315,68.75
"31","A01021/RTx2917","A01021","RTx2917","19CS",7849.6671,3815.6914,107.315,65.75
"35","A01021/RTx2935","A01021","RTx2935","19CS",6867.7584,3707.7953,104.14,66
"43","A01021/RTx2943","A01021","RTx2943","19CS",9027.6784,3467.55785,112.395,68.75
"49","A01046/R04104","A01046","R04104","19CS",7082.3753,3745.70695,102.235,71
"51","A01046/R05386","A01046","R05386","19CS",7959.9153,3505.5339,92.71,71
"55","A01046/R05512","A01046","R05512","19CS",7090.348,2667.68845,94.615,72.5
"64","A01046/R11208","A01046","R11208","19CS",6849.0584,3080.8268,88.265,71.25
"69","A01046/R12156","A01046","R12156","19CS",7518.022,3467.43485,105.41,74
"73","A01046/RTx2914","A01046","RTx2914","19CS",6041.7978,3023.1708,102.235,72.5
"79","A01046/RTx2935","A01046","RTx2935","19CS",7575.6322,3270.75845,97.79,71.25
"92","A01362/R04060","A01362","R04060","19CS",8110.8879,4341.2612,111.125,70.5
"94","A01362/R05330","A01362","R05330","19CS",6706.2898,3545.37815,111.76,71.75
"99","A01362/R05512","A01362","R05512","19CS",6059.3281,3262.08945,97.155,70.25
"101","A01362/R07178","A01362","R07178","19CS",6608.1926,4015.79075,97.155,68.75
"105","A01362/R08304","A01362","R08304","19CS",8223.1828,4222.25235,106.68,68.75
"110","A01362/R12145","A01362","R12145","19CS",7404.5395,3619.54775,103.505,71.75
"115","A01362/RTx2912","A01362","RTx2912","19CS",6796.1259,2520.2426,97.155,71.75
"117","A01362/RTx2914","A01362","RTx2914","19CS",7723.3031,3617.5718,104.775,70.25
"121","A01362/RTx2919","A01362","RTx2919","19CS",8630.076,3685.4791,98.425,68.75
"125","A01362/RTx2937","A01362","RTx2937","19CS",6560.3684,3966.43065,102.235,69
"131","A01362/RTx2943","A01362","RTx2943","19CS",5628.2478,3624.922,108.585,71.75
"136","A03017/R04060","A03017","R04060","19CS",6913.9201,4422.8579,116.205,69.75
"137","A03017/R04104","A03017","R04104","19CS",6626.6593,4421.70465,109.855,68
"164","A03017/RTx2918","A03017","RTx2918","19CS",5966.1151,4186.23565,108.585,68.25
"166","A03017/RTx2920","A03017","RTx2920","19CS",7497.4115,3836.549,99.06,68
"180","A03032/R04060","A03032","R04060","19CS",8048.1918,4105.79865,105.41,70.5
"191","A03032/R08297","A03032","R08297","19CS",6694.125,3836.9283,94.615,68.75
"204","A03032/RTx2913","A03032","RTx2913","19CS",7295.4547,3552.16715,106.045,71.75
"208","A03032/RTx2918","A03032","RTx2918","19CS",6607.601,3869.1764,97.79,69
"218","A03032/RTx2942","A03032","RTx2942","19CS",7213.752,3907.99175,100.965,68.25
