"","gy","ph","dy"
"A03043/R02107",2184.70865,104.14,72.5
"A03043/R03248",3441.6433,93.98,70.75
"A03043/R04060",3792.99575,109.855,72
"A03043/R04104",3791.8425,103.505,70.25
"A03043/R05330",2997.1127,110.49,73.25
"A03043/R05386",3551.66945,93.98,70.25
"A03043/R05393",2166.6587,97.155,73.25
"A03043/R05405",3203.8857,91.44,70.25
"A03043/R05425",2830.41085,91.44,70.5
"A03043/R05512",2713.824,95.885,71.75
"A03043/R07161",3201.2921,113.03,71
"A03043/R07178",3467.5253,95.885,70.25
"A03043/R08224",2371.8222,108.585,72.5
"A03043/R08297",3524.1254,99.06,70.25
"A03043/R08303",3362.8273,91.44,70.25
"A03043/R08304",3673.9869,105.41,70.25
"A03043/R08306",3618.40555,99.06,70.25
"A03043/R11158",3261.18545,102.235,70.25
"A03043/R11208",3126.96235,89.535,70.5
"A03043/R12071",3345.582,99.06,71.75
"A03043/R12145",3071.2823,102.235,73.25
"A03043/R12148",3318.56595,102.235,72.5
"A03043/R12154",3127.14815,99.06,72.25
"A03043/R12156",3513.5704,106.68,73.25
"A03043/R12157",3677.6569,107.315,71.75
"A03043/RTx2912",1971.97715,95.885,73.25
"A03043/RTx2913",3239.36425,110.49,73.25
"A03043/RTx2914",3069.30635,103.505,71.75
"A03043/RTx2916",2726.45225,99.06,73.25
"A03043/RTx2917",3424.7901,102.235,70.25
"A03043/RTx2918",3556.3735,102.235,70.5
"A03043/RTx2919",3137.21365,97.155,70.25
"A03043/RTx2920",3206.68685,92.71,70.25
"A03043/RTx2935",3316.894,99.06,70.5
"A03043/RTx2936",2979.34335,97.79,72
"A03043/RTx2937",3418.1652,100.965,70.5
"A03043/RTx2938",1933.29865,90.805,74
"A03043/RTx2939",2281.47465,112.21845,74.3628
"A03043/RTx2940",3486.79265,97.79,70.5
"A03043/RTx2941",2697.7449,100.33,73.25
"A03043/RTx2942",3595.18885,105.41,69.75
"A03043/RTx2943",3076.65655,107.315,73.25
"A03043/RTx2944",2778.92765,99.06,70.25
"A03054/R01302",2485.5978,92.075,70.5
"A03054/R02107",2131.50225,95.25,70.5
"A03054/R03248",3388.4369,85.09,68.75
"A03054/R04060",3739.78935,100.965,70
"A03054/R04104",3738.6361,94.615,68.25
"A03054/R05330",2943.9063,101.6,71.25
"A03054/R05386",3498.46305,85.09,68.25
"A03054/R05393",2113.4523,88.265,71.25
"A03054/R05405",3150.6793,82.55,68.25
"A03054/R05425",2777.20445,82.55,68.5
"A03054/R05512",2660.6176,86.995,69.75
"A03054/R07161",3148.0857,104.14,69
"A03054/R07178",3414.3189,86.995,68.25
"A03054/R08224",2318.6158,99.695,70.5
"A03054/R08297",3470.919,90.17,68.25
"A03054/R08303",3309.6209,82.55,68.25
"A03054/R08304",3620.7805,96.52,68.25
"A03054/R08306",3565.19915,90.17,68.25
"A03054/R11158",3207.97905,93.345,68.25
"A03054/R11208",3073.75595,80.645,68.5
"A03054/R12071",3292.3756,90.17,69.75
"A03054/R12145",3018.0759,93.345,71.25
"A03054/R12148",3265.35955,93.345,70.5
"A03054/R12154",3073.94175,90.17,70.25
"A03054/R12156",3460.364,97.79,71.25
"A03054/R12157",3624.4505,98.425,69.75
"A03054/RTx2912",1918.77075,86.995,71.25
"A03054/RTx2913",3186.15785,101.6,71.25
"A03054/RTx2914",3016.09995,94.615,69.75
"A03054/RTx2916",2673.24585,90.17,71.25
"A03054/RTx2917",3371.5837,93.345,68.25
"A03054/RTx2918",3503.1671,93.345,68.5
"A03054/RTx2919",3084.00725,88.265,68.25
"A03054/RTx2920",3153.48045,83.82,68.25
"A03054/RTx2935",3263.6876,90.17,68.5
"A03054/RTx2936",2926.13695,88.9,70
"A03054/RTx2937",3364.9588,92.075,68.5
"A03054/RTx2938",1880.09225,81.915,72
"A03054/RTx2939",2228.26825,103.32845,72.3628
"A03054/RTx2940",3433.58625,88.9,68.5
"A03054/RTx2941",2644.5385,91.44,71.25
"A03054/RTx2942",3541.98245,96.52,67.75
"A03054/RTx2943",3023.45015,98.425,71.25
"A03054/RTx2944",2725.72125,90.17,68.25
"A03055/R01302",2426.63895,97.79,70.5
"A03055/R02107",2072.5434,100.965,70.5
"A03055/R03248",3329.47805,90.805,68.75
"A03055/R04060",3680.8305,106.68,70
"A03055/R04104",3679.67725,100.33,68.25
"A03055/R05330",2884.94745,107.315,71.25
"A03055/R05386",3439.5042,90.805,68.25
"A03055/R05393",2054.49345,93.98,71.25
"A03055/R05405",3091.72045,88.265,68.25
"A03055/R05425",2718.2456,88.265,68.5
"A03055/R05512",2601.65875,92.71,69.75
"A03055/R07161",3089.12685,109.855,69
"A03055/R07178",3355.36005,92.71,68.25
"A03055/R08224",2259.65695,105.41,70.5
"A03055/R08297",3411.96015,95.885,68.25
"A03055/R08303",3250.66205,88.265,68.25
"A03055/R08304",3561.82165,102.235,68.25
"A03055/R08306",3506.2403,95.885,68.25
"A03055/R11158",3149.0202,99.06,68.25
"A03055/R11208",3014.7971,86.36,68.5
"A03055/R12071",3233.41675,95.885,69.75
"A03055/R12145",2959.11705,99.06,71.25
"A03055/R12148",3206.4007,99.06,70.5
"A03055/R12154",3014.9829,95.885,70.25
"A03055/R12156",3401.40515,103.505,71.25
"A03055/R12157",3565.49165,104.14,69.75
"A03055/RTx2912",1859.8119,92.71,71.25
"A03055/RTx2913",3127.199,107.315,71.25
"A03055/RTx2914",2957.1411,100.33,69.75
"A03055/RTx2916",2614.287,95.885,71.25
"A03055/RTx2917",3312.62485,99.06,68.25
"A03055/RTx2918",3444.20825,99.06,68.5
"A03055/RTx2919",3025.0484,93.98,68.25
"A03055/RTx2920",3094.5216,89.535,68.25
"A03055/RTx2935",3204.72875,95.885,68.5
"A03055/RTx2936",2867.1781,94.615,70
"A03055/RTx2937",3305.99995,97.79,68.5
"A03055/RTx2938",1821.1334,87.63,72
"A03055/RTx2939",2169.3094,109.04345,72.3628
"A03055/RTx2940",3374.6274,94.615,68.5
"A03055/RTx2941",2585.57965,97.155,71.25
"A03055/RTx2942",3483.0236,102.235,67.75
"A03055/RTx2943",2964.4913,104.14,71.25
"A03055/RTx2944",2666.7624,95.885,68.25
"A03089/R01302",1603.40965,94.615,73.25
"A03089/R02107",1249.3141,97.79,73.25
"A03089/R03248",2506.24875,87.63,71.5
"A03089/R04060",2857.6012,103.505,72.75
"A03089/R04104",2856.44795,97.155,71
"A03089/R05330",2061.71815,104.14,74
"A03089/R05386",2616.2749,87.63,71
"A03089/R05393",1231.26415,90.805,74
"A03089/R05405",2268.49115,85.09,71
"A03089/R05425",1895.0163,85.09,71.25
"A03089/R05512",1778.42945,89.535,72.5
"A03089/R07161",2265.89755,106.68,71.75
"A03089/R07178",2532.13075,89.535,71
"A03089/R08224",1436.42765,102.235,73.25
"A03089/R08297",2588.73085,92.71,71
"A03089/R08303",2427.43275,85.09,71
"A03089/R08304",2738.59235,99.06,71
"A03089/R08306",2683.011,92.71,71
"A03089/R11158",2325.7909,95.885,71
"A03089/R11208",2191.5678,83.185,71.25
"A03089/R12071",2410.18745,92.71,72.5
"A03089/R12145",2135.88775,95.885,74
"A03089/R12148",2383.1714,95.885,73.25
"A03089/R12154",2191.7536,92.71,73
"A03089/R12156",2578.17585,100.33,74
"A03089/R12157",2742.26235,100.965,72.5
"A03089/RTx2912",1036.5826,89.535,74
"A03089/RTx2913",2303.9697,104.14,74
"A03089/RTx2914",2133.9118,97.155,72.5
"A03089/RTx2916",1791.0577,92.71,74
"A03089/RTx2917",2489.39555,95.885,71
"A03089/RTx2918",2620.97895,95.885,71.25
"A03089/RTx2919",2201.8191,90.805,71
"A03089/RTx2920",2271.2923,86.36,71
"A03089/RTx2935",2381.49945,92.71,71.25
"A03089/RTx2936",2043.9488,91.44,72.75
"A03089/RTx2937",2482.77065,94.615,71.25
"A03089/RTx2938",997.9041,84.455,74.75
"A03089/RTx2939",1346.0801,105.86845,75.1128
"A03089/RTx2940",2551.3981,91.44,71.25
"A03089/RTx2941",1762.35035,93.98,74
"A03089/RTx2942",2659.7943,99.06,70.5
"A03089/RTx2943",2141.262,100.965,74
"A03089/RTx2944",1843.5331,92.71,71
"A03093/R01302",3045.78375,104.14,70.25
"A03093/R02107",2691.6882,107.315,70.25
"A03093/R03248",3948.62285,97.155,68.5
"A03093/R04060",4299.9753,113.03,69.75
"A03093/R04104",4298.82205,106.68,68
"A03093/R05330",3504.09225,113.665,71
"A03093/R05386",4058.649,97.155,68
"A03093/R05393",2673.63825,100.33,71
"A03093/R05405",3710.86525,94.615,68
"A03093/R05425",3337.3904,94.615,68.25
"A03093/R05512",3220.80355,99.06,69.5
"A03093/R07161",3708.27165,116.205,68.75
"A03093/R07178",3974.50485,99.06,68
"A03093/R08224",2878.80175,111.76,70.25
"A03093/R08297",4031.10495,102.235,68
"A03093/R08303",3869.80685,94.615,68
"A03093/R08304",4180.96645,108.585,68
"A03093/R08306",4125.3851,102.235,68
"A03093/R11158",3768.165,105.41,68
"A03093/R11208",3633.9419,92.71,68.25
"A03093/R12071",3852.56155,102.235,69.5
"A03093/R12145",3578.26185,105.41,71
"A03093/R12148",3825.5455,105.41,70.25
"A03093/R12154",3634.1277,102.235,70
"A03093/R12156",4020.54995,109.855,71
"A03093/R12157",4184.63645,110.49,69.5
"A03093/RTx2912",2478.9567,99.06,71
"A03093/RTx2913",3746.3438,113.665,71
"A03093/RTx2914",3576.2859,106.68,69.5
"A03093/RTx2916",3233.4318,102.235,71
"A03093/RTx2917",3931.76965,105.41,68
"A03093/RTx2918",4063.35305,105.41,68.25
"A03093/RTx2919",3644.1932,100.33,68
"A03093/RTx2920",3713.6664,95.885,68
"A03093/RTx2935",3823.87355,102.235,68.25
"A03093/RTx2936",3486.3229,100.965,69.75
"A03093/RTx2937",3925.14475,104.14,68.25
"A03093/RTx2938",2440.2782,93.98,71.75
"A03093/RTx2939",2788.4542,115.39345,72.1128
"A03093/RTx2940",3993.7722,100.965,68.25
"A03093/RTx2941",3204.72445,103.505,71
"A03093/RTx2942",4102.1684,108.585,67.5
"A03093/RTx2943",3583.6361,110.49,71
"A03093/RTx2944",3285.9072,102.235,68
"A03121/R01302",2817.4843,99.695,72.5
"A03121/R02107",2463.38875,102.87,72.5
"A03121/R03248",3720.3234,92.71,70.75
"A03121/R04060",4071.67585,108.585,72
"A03121/R04104",4070.5226,102.235,70.25
"A03121/R05330",3275.7928,109.22,73.25
"A03121/R05386",3830.34955,92.71,70.25
"A03121/R05393",2445.3388,95.885,73.25
"A03121/R05405",3482.5658,90.17,70.25
"A03121/R05425",3109.09095,90.17,70.5
"A03121/R05512",2992.5041,94.615,71.75
"A03121/R07161",3479.9722,111.76,71
"A03121/R07178",3746.2054,94.615,70.25
"A03121/R08224",2650.5023,107.315,72.5
"A03121/R08297",3802.8055,97.79,70.25
"A03121/R08303",3641.5074,90.17,70.25
"A03121/R08304",3952.667,104.14,70.25
"A03121/R08306",3897.08565,97.79,70.25
"A03121/R11158",3539.86555,100.965,70.25
"A03121/R11208",3405.64245,88.265,70.5
"A03121/R12071",3624.2621,97.79,71.75
"A03121/R12145",3349.9624,100.965,73.25
"A03121/R12148",3597.24605,100.965,72.5
"A03121/R12154",3405.82825,97.79,72.25
"A03121/R12156",3792.2505,105.41,73.25
"A03121/R12157",3956.337,106.045,71.75
"A03121/RTx2912",2250.65725,94.615,73.25
"A03121/RTx2913",3518.04435,109.22,73.25
"A03121/RTx2914",3347.98645,102.235,71.75
"A03121/RTx2916",3005.13235,97.79,73.25
"A03121/RTx2917",3703.4702,100.965,70.25
"A03121/RTx2918",3835.0536,100.965,70.5
"A03121/RTx2919",3415.89375,95.885,70.25
"A03121/RTx2920",3485.36695,91.44,70.25
"A03121/RTx2935",3595.5741,97.79,70.5
"A03121/RTx2936",3258.02345,96.52,72
"A03121/RTx2937",3696.8453,99.695,70.5
"A03121/RTx2938",2211.97875,89.535,74
"A03121/RTx2939",2560.15475,110.94845,74.3628
"A03121/RTx2940",3765.47275,96.52,70.5
"A03121/RTx2941",2976.425,99.06,73.25
"A03121/RTx2942",3873.86895,104.14,69.75
"A03121/RTx2943",3355.33665,106.045,73.25
"A03121/RTx2944",3057.60775,97.79,70.25
"A05071/R01302",2781.5739,102.235,70.5
"A05071/R02107",2427.47835,105.41,70.5
"A05071/R03248",3684.413,95.25,68.75
"A05071/R04060",4035.76545,111.125,70
"A05071/R04104",4034.6122,104.775,68.25
"A05071/R05330",3239.8824,111.76,71.25
"A05071/R05386",3794.43915,95.25,68.25
"A05071/R05393",2409.4284,98.425,71.25
"A05071/R05405",3446.6554,92.71,68.25
"A05071/R05425",3073.18055,92.71,68.5
"A05071/R05512",2956.5937,97.155,69.75
"A05071/R07161",3444.0618,114.3,69
"A05071/R07178",3710.295,97.155,68.25
"A05071/R08224",2614.5919,109.855,70.5
"A05071/R08297",3766.8951,100.33,68.25
"A05071/R08303",3605.597,92.71,68.25
"A05071/R08304",3916.7566,106.68,68.25
"A05071/R08306",3861.17525,100.33,68.25
"A05071/R11158",3503.95515,103.505,68.25
"A05071/R11208",3369.73205,90.805,68.5
"A05071/R12071",3588.3517,100.33,69.75
"A05071/R12145",3314.052,103.505,71.25
"A05071/R12148",3561.33565,103.505,70.5
"A05071/R12154",3369.91785,100.33,70.25
"A05071/R12156",3756.3401,107.95,71.25
"A05071/R12157",3920.4266,108.585,69.75
"A05071/RTx2912",2214.74685,97.155,71.25
"A05071/RTx2913",3482.13395,111.76,71.25
"A05071/RTx2914",3312.07605,104.775,69.75
"A05071/RTx2916",2969.22195,100.33,71.25
"A05071/RTx2917",3667.5598,103.505,68.25
"A05071/RTx2918",3799.1432,103.505,68.5
"A05071/RTx2919",3379.98335,98.425,68.25
"A05071/RTx2920",3449.45655,93.98,68.25
"A05071/RTx2935",3559.6637,100.33,68.5
"A05071/RTx2936",3222.11305,99.06,70
"A05071/RTx2937",3660.9349,102.235,68.5
"A05071/RTx2938",2176.06835,92.075,72
"A05071/RTx2939",2524.24435,113.48845,72.3628
"A05071/RTx2940",3729.56235,99.06,68.5
"A05071/RTx2941",2940.5146,101.6,71.25
"A05071/RTx2942",3837.95855,106.68,67.75
"A05071/RTx2943",3319.42625,108.585,71.25
"A05071/RTx2944",3021.69735,100.33,68.25
"A05210/R01302",2823.5582,110.49,70.75
"A05210/R02107",2469.46265,113.665,70.75
"A05210/R03248",3726.3973,103.505,69
"A05210/R04060",4077.74975,119.38,70.25
"A05210/R04104",4076.5965,113.03,68.5
"A05210/R05330",3281.8667,120.015,71.5
"A05210/R05386",3836.42345,103.505,68.5
"A05210/R05393",2451.4127,106.68,71.5
"A05210/R05405",3488.6397,100.965,68.5
"A05210/R05425",3115.16485,100.965,68.75
"A05210/R05512",2998.578,105.41,70
"A05210/R07161",3486.0461,122.555,69.25
"A05210/R07178",3752.2793,105.41,68.5
"A05210/R08224",2656.5762,118.11,70.75
"A05210/R08297",3808.8794,108.585,68.5
"A05210/R08303",3647.5813,100.965,68.5
"A05210/R08304",3958.7409,114.935,68.5
"A05210/R08306",3903.15955,108.585,68.5
"A05210/R11158",3545.93945,111.76,68.5
"A05210/R11208",3411.71635,99.06,68.75
"A05210/R12071",3630.336,108.585,70
"A05210/R12145",3356.0363,111.76,71.5
"A05210/R12148",3603.31995,111.76,70.75
"A05210/R12154",3411.90215,108.585,70.5
"A05210/R12156",3798.3244,116.205,71.5
"A05210/R12157",3962.4109,116.84,70
"A05210/RTx2912",2256.73115,105.41,71.5
"A05210/RTx2913",3524.11825,120.015,71.5
