pedigree,female,male,env,blue
A01021/R01302,A01021,R01302,19CS,1.81
A01021/R02107,A01021,R02107,19CS,1.81
A01021/R05425,A01021,R05425,19CS,1.87
A01021/R07178,A01021,R07178,19CS,1.845
A01021/R11158,A01021,R11158,19CS,1.71
A01021/R12145,A01021,R12145,19CS,1.705
A01021/RTx2917,A01021,RTx2917,19CS,1.68
A01021/RTx2935,A01021,RTx2935,19CS,1.695
A01021/RTx2943,A01021,RTx2943,19CS,1.895
A01046/R04104,A01046,R04104,19CS,1.82
A01046/R05386,A01046,R05386,19CS,1.825
A01046/R05512,A01046,R05512,19CS,1.86
A01046/R11208,A01046,R11208,19CS,1.825
A01046/R12156,A01046,R12156,19CS,1.8
A01046/RTx2914,A01046,RTx2914,19CS,1.895
A01046/RTx2935,A01046,RTx2935,19CS,1.87
A01362/R04060,A01362,R04060,19CS,1.615
A01362/R05330,A01362,R05330,19CS,1.61
A01362/R05512,A01362,R05512,19CS,1.505
A01362/R07178,A01362,R07178,19CS,1.695
A01362/R08304,A01362,R08304,19CS,1.745
A01362/R12145,A01362,R12145,19CS,1.655
A01362/RTx2912,A01362,RTx2912,19CS,1.565
A01362/RTx2914,A01362,RTx2914,19CS,1.645
A01362/RTx2919,A01362,RTx2919,19CS,1.635
A01362/RTx2937,A01362,RTx2937,19CS,1.605
A01362/RTx2943,A01362,RTx2943,19CS,1.765
A03017/R04060,A03017,R04060,19CS,1.77
A03017/R04104,A03017,R04104,19CS,1.67
A03017/RTx2918,A03017,RTx2918,19CS,1.705
A03017/RTx2920,A03017,RTx2920,19CS,1.81
A03032/R04060,A03032,R04060,19CS,1.705
A03032/R08297,A03032,R08297,19CS,1.805
A03032/RTx2913,A03032,RTx2913,19CS,1.745
A03032/RTx2918,A03032,RTx2918,19CS,1.7
A03032/RTx2942,A03032,RTx2942,19CS,1.735
A03032/RTx2943,A03032,RTx2943,19CS,1.86
A03040/R03248,A03040,R03248,19CS,1.7
A03040/R04104,A03040,R04104,19CS,1.63
A03040/R05393,A03040,R05393,19CS,1.66
A03040/R07178,A03040,R07178,19CS,1.69
A03040/R08306,A03040,R08306,19CS,1.735
A03040/R12071,A03040,R12071,19CS,1.76
A03040/R12154,A03040,R12154,19CS,1.67
A03040/RTx2913,A03040,RTx2913,19CS,1.645
A03040/RTx2917,A03040,RTx2917,19CS,1.52
A03040/RTx2940,A03040,RTx2940,19CS,1.72
A03040/RTx2942,A03040,RTx2942,19CS,1.535
A03043/R01302,A03043,R01302,19CS,1.84
A03043/R04104,A03043,R04104,19CS,1.735
A03043/R05330,A03043,R05330,19CS,1.715
A03043/R05386,A03043,R05386,19CS,1.69
A03043/R05425,A03043,R05425,19CS,1.79
A03043/R08297,A03043,R08297,19CS,1.675
A03043/R08304,A03043,R08304,19CS,1.83
A03043/R12148,A03043,R12148,19CS,1.74
A03043/RTx2913,A03043,RTx2913,19CS,1.82
A03043/RTx2920,A03043,RTx2920,19CS,1.705
A03043/RTx2940,A03043,RTx2940,19CS,1.79
A03054/R01302,A03054,R01302,19CS,1.885
A03054/R05405,A03054,R05405,19CS,1.76
A03054/R07161,A03054,R07161,19CS,1.87
A03054/R12156,A03054,R12156,19CS,1.64
A03054/RTx2918,A03054,RTx2918,19CS,1.61
A03054/RTx2936,A03054,RTx2936,19CS,1.775
A03054/RTx2940,A03054,RTx2940,19CS,1.755
A03054/RTx2941,A03054,RTx2941,19CS,1.8
A03055/R04104,A03055,R04104,19CS,1.685
A03055/R05330,A03055,R05330,19CS,1.715
A03055/R07161,A03055,R07161,19CS,1.885
A03055/R08297,A03055,R08297,19CS,1.7
A03055/R12148,A03055,R12148,19CS,1.755
A03055/RTx2918,A03055,RTx2918,19CS,1.815
A03055/RTx2936,A03055,RTx2936,19CS,1.84
A03055/RTx2942,A03055,RTx2942,19CS,1.615
A03055/RTx2943,A03055,RTx2943,19CS,1.835
A03055/RTx2944,A03055,RTx2944,19CS,1.81
A03089/R04104,A03089,R04104,19CS,1.6
A03089/R05393,A03089,R05393,19CS,1.68
A03089/R08224,A03089,R08224,19CS,1.93
A03089/R12157,A03089,R12157,19CS,1.665
A03089/RTx2914,A03089,RTx2914,19CS,1.81
A03089/RTx2917,A03089,RTx2917,19CS,1.565
A03093/R02107,A03093,R02107,19CS,1.725
A03093/R05386,A03093,R05386,19CS,1.8
A03093/R05405,A03093,R05405,19CS,1.695
A03093/R07178,A03093,R07178,19CS,1.805
A03093/R08297,A03093,R08297,19CS,1.655
A03093/R12148,A03093,R12148,19CS,1.74
A03093/RTx2913,A03093,RTx2913,19CS,1.715
A03093/RTx2917,A03093,RTx2917,19CS,1.625
A03093/RTx2920,A03093,RTx2920,19CS,1.715
A03093/RTx2940,A03093,RTx2940,19CS,1.76
A03093/RTx2944,A03093,RTx2944,19CS,1.81
A03121/R02107,A03121,R02107,19CS,1.745
A03121/R05330,A03121,R05330,19CS,1.56
A03121/R05425,A03121,R05425,19CS,1.605
A03121/R07178,A03121,R07178,19CS,1.735
A03121/R08224,A03121,R08224,19CS,1.83
A03121/R08303,A03121,R08303,19CS,1.625
A03121/R12157,A03121,R12157,19CS,1.61
A03121/RTx2913,A03121,RTx2913,19CS,1.64
A03121/RTx2919,A03121,RTx2919,19CS,1.605
A03121/RTx2935,A03121,RTx2935,19CS,1.665
A03121/RTx2944,A03121,RTx2944,19CS,1.795
A05071/R02107,A05071,R02107,19CS,1.735
A05071/R04060,A05071,R04060,19CS,1.72
A05071/R05330,A05071,R05330,19CS,1.745
A05071/R05405,A05071,R05405,19CS,1.9
A05071/R05425,A05071,R05425,19CS,1.705
A05071/R08297,A05071,R08297,19CS,1.715
A05071/R11158,A05071,R11158,19CS,1.74
A05071/R12154,A05071,R12154,19CS,1.825
A05071/RTx2916,A05071,RTx2916,19CS,1.865
A05071/RTx2918,A05071,RTx2918,19CS,1.775
A05071/RTx2936,A05071,RTx2936,19CS,1.81
A05071/RTx2942,A05071,RTx2942,19CS,1.675
A05210/R03248,A05210,R03248,19CS,1.745
A05210/R05330,A05210,R05330,19CS,1.68
A05210/R05405,A05210,R05405,19CS,1.665
A05210/R05512,A05210,R05512,19CS,1.64
A05210/R08224,A05210,R08224,19CS,1.83
A05210/R12145,A05210,R12145,19CS,1.72
A05210/R12154,A05210,R12154,19CS,1.65
A05210/R12157,A05210,R12157,19CS,1.685
A05210/RTx2937,A05210,RTx2937,19CS,1.705
A05210/RTx2938,A05210,RTx2938,19CS,1.745
A05210/RTx2943,A05210,RTx2943,19CS,1.845
A05269/R01302,A05269,R01302,19CS,1.805
A05269/R05330,A05269,R05330,19CS,1.575
A05269/R07161,A05269,R07161,19CS,1.8
A05269/R08303,A05269,R08303,19CS,1.715
A05269/R08306,A05269,R08306,19CS,1.825
A05269/R11208,A05269,R11208,19CS,1.7
A05269/R12156,A05269,R12156,19CS,1.735
A05269/RTx2919,A05269,RTx2919,19CS,1.665
A05269/RTx2936,A05269,RTx2936,19CS,1.9
A05269/RTx2943,A05269,RTx2943,19CS,1.825
A05269/RTx2944,A05269,RTx2944,19CS,1.82
A06035/R03248,A06035,R03248,19CS,1.685
A06035/R05330,A06035,R05330,19CS,1.69
A06035/R12154,A06035,R12154,19CS,1.645
A06035/RTx2913,A06035,RTx2913,19CS,1.8
A06035/RTx2917,A06035,RTx2917,19CS,1.61
A06035/RTx2920,A06035,RTx2920,19CS,1.755
A06035/RTx2936,A06035,RTx2936,19CS,1.84
A06035/RTx2943,A06035,RTx2943,19CS,1.895
A06036/R04104,A06036,R04104,19CS,1.905
A06036/R08306,A06036,R08306,19CS,1.97
A06036/R11158,A06036,R11158,19CS,1.845
A06036/R12156,A06036,R12156,19CS,1.81
A06036/RTx2919,A06036,RTx2919,19CS,1.795
A06036/RTx2940,A06036,RTx2940,19CS,1.76
A07118/R07161,A07118,R07161,19CS,1.73
A07118/R08224,A07118,R08224,19CS,1.75
A07118/R08304,A07118,R08304,19CS,1.68
A07118/R12145,A07118,R12145,19CS,1.595
A07118/R12148,A07118,R12148,19CS,1.585
A07118/R12157,A07118,R12157,19CS,1.645
A07118/RTx2919,A07118,RTx2919,19CS,1.58
A07118/RTx2944,A07118,RTx2944,19CS,1.745
A07124/R01302,A07124,R01302,19CS,1.685
A07124/R04060,A07124,R04060,19CS,1.595
