"","gy","ph","dy"
"A03017/R05386",5720.3515,106.045,91
"A03017/R05393",5767.171,109.22,90.75
"A03017/R05405",5652.7995,109.855,91.25
"A03017/R05425",5559.1675,111.76,88.75
"A03017/R05512",5439.172,111.125,92
"A03017/R07161",6411.7275,122.555,89.5
"A03017/R07178",6176.3155,111.125,90.25
"A03017/R08224",5666.66,123.825,92
"A03017/R08297",5428.465,108.585,91.25
"A03017/R08303",5730.8355,100.965,91.5
"A03017/R08304",5986.5955,128.27,91.5
"A03017/R08306",6044.938,107.315,89.25
"A03017/R11158",5996.2885,121.92,89.25
"A03017/R11208",6011.031,104.14,91.5
"A03017/R12071",6691.058,115.57,87
"A03017/R12145",6080.6875,114.3,91.5
"A03017/R12148",5684.563,110.49,90.75
"A03017/R12154",6326.9195,118.11,89.25
"A03017/R12156",6166.276,113.03,92.75
"A03017/R12157",5678.256,116.84,91.5
"A03017/RTx2912",5043.7805,113.03,93.25
"A03017/RTx2913",6438.4375,124.46,91
"A03017/RTx2914",5414.997,123.19,90.25
"A03017/RTx2916",5474.2365,116.84,91.5
"A03017/RTx2917",5592.3905,108.585,90.5
"A03017/RTx2918",6244.7065,109.22,91.5
"A03017/RTx2919",5602.703,114.935,92
"A03017/RTx2920",5232.0875,100.965,88.75
"A03017/RTx2935",6251.4745,109.855,91.5
"A03017/RTx2936",6277.183,120.015,89.25
"A03017/RTx2937",5608.0795,107.95,91
"A03017/RTx2938",5858.4615,111.125,90.25
"A03017/RTx2939",5992.5855,121.92,92
"A03017/RTx2940",5853.7195,109.855,89
"A03017/RTx2941",4443.956,114.3,94.5
"A03017/RTx2942",6488.851,116.84,89.25
"A03017/RTx2943",5853.695,123.825,91.5
"A03017/RTx2944",5312.775,111.76,87.75
"A03032/R01302",5876.241,97.79,90
"A03032/R02107",4859.554,100.965,90.25
"A03032/R03248",6310.0575,100.965,90.75
"A03032/R04060",6745.113,102.87,91.25
"A03032/R04104",5727.472,99.695,90.25
"A03032/R05330",5805.9375,106.045,90.75
"A03032/R05386",5648.671,91.44,92
"A03032/R05393",5695.4905,94.615,91.75
"A03032/R05405",5581.119,95.25,92.25
"A03032/R05425",5487.487,97.155,89.75
"A03032/R05512",5367.4915,96.52,93
"A03032/R07161",6340.047,107.95,90.5
"A03032/R07178",6104.635,96.52,91.25
"A03032/R08224",5594.9795,109.22,93
"A03032/R08297",5356.7845,93.98,92.25
"A03032/R08303",5659.155,86.36,92.5
"A03032/R08304",5914.915,113.665,92.5
"A03032/R08306",5973.2575,92.71,90.25
"A03032/R11158",5924.608,107.315,90.25
"A03032/R11208",5939.3505,89.535,92.5
"A03032/R12071",6619.3775,100.965,88
"A03032/R12145",6009.007,99.695,92.5
"A03032/R12148",5612.8825,95.885,91.75
"A03032/R12154",6255.239,103.505,90.25
"A03032/R12156",6094.5955,98.425,93.75
"A03032/R12157",5606.5755,102.235,92.5
"A03032/RTx2912",4972.1,98.425,94.25
"A03032/RTx2913",6366.757,109.855,92
"A03032/RTx2914",5343.3165,108.585,91.25
"A03032/RTx2916",5402.556,102.235,92.5
"A03032/RTx2917",5520.71,93.98,91.5
"A03032/RTx2918",6173.026,94.615,92.5
"A03032/RTx2919",5531.0225,100.33,93
"A03032/RTx2920",5160.407,86.36,89.75
"A03032/RTx2935",6179.794,95.25,92.5
"A03032/RTx2936",6205.5025,105.41,90.25
"A03032/RTx2937",5536.399,93.345,92
"A03032/RTx2938",5786.781,96.52,91.25
"A03032/RTx2939",5920.905,107.315,93
"A03032/RTx2940",5782.039,95.25,90
"A03032/RTx2941",4372.2755,99.695,95.5
"A03032/RTx2942",6417.1705,102.235,90.25
"A03032/RTx2943",5782.0145,109.22,92.5
"A03032/RTx2944",5241.0945,97.155,88.75
"A03040/R01302",5876.9465,120.015,88.5
"A03040/R02107",4860.2595,123.19,88.75
"A03040/R03248",6310.763,123.19,89.25
"A03040/R04060",6745.8185,125.095,89.75
"A03040/R04104",5728.1775,121.92,88.75
"A03040/R05330",5806.643,128.27,89.25
"A03040/R05386",5649.3765,113.665,90.5
"A03040/R05393",5696.196,116.84,90.25
"A03040/R05405",5581.8245,117.475,90.75
"A03040/R05425",5488.1925,119.38,88.25
"A03040/R05512",5368.197,118.745,91.5
"A03040/R07161",6340.7525,130.175,89
"A03040/R07178",6105.3405,118.745,89.75
"A03040/R08224",5595.685,131.445,91.5
"A03040/R08297",5357.49,116.205,90.75
"A03040/R08303",5659.8605,108.585,91
"A03040/R08304",5915.6205,135.89,91
"A03040/R08306",5973.963,114.935,88.75
"A03040/R11158",5925.3135,129.54,88.75
"A03040/R11208",5940.056,111.76,91
"A03040/R12071",6620.083,123.19,86.5
"A03040/R12145",6009.7125,121.92,91
"A03040/R12148",5613.588,118.11,90.25
"A03040/R12154",6255.9445,125.73,88.75
"A03040/R12156",6095.301,120.65,92.25
"A03040/R12157",5607.281,124.46,91
"A03040/RTx2912",4972.8055,120.65,92.75
"A03040/RTx2913",6367.4625,132.08,90.5
"A03040/RTx2914",5344.022,130.81,89.75
"A03040/RTx2916",5403.2615,124.46,91
"A03040/RTx2917",5521.4155,116.205,90
"A03040/RTx2918",6173.7315,116.84,91
"A03040/RTx2919",5531.728,122.555,91.5
"A03040/RTx2920",5161.1125,108.585,88.25
"A03040/RTx2935",6180.4995,117.475,91
"A03040/RTx2936",6206.208,127.635,88.75
"A03040/RTx2937",5537.1045,115.57,90.5
"A03040/RTx2938",5787.4865,118.745,89.75
"A03040/RTx2939",5921.6105,129.54,91.5
"A03040/RTx2940",5782.7445,117.475,88.5
"A03040/RTx2941",4372.981,121.92,94
"A03040/RTx2942",6417.876,124.46,88.75
"A03040/RTx2943",5782.72,131.445,91
"A03040/RTx2944",5241.8,119.38,87.25
"A03043/R01302",5269.304,111.125,91
"A03043/R02107",4252.617,114.3,91.25
"A03043/R03248",5703.1205,114.3,91.75
"A03043/R04060",6138.176,116.205,92.25
"A03043/R04104",5120.535,113.03,91.25
"A03043/R05330",5199.0005,119.38,91.75
"A03043/R05386",5041.734,104.775,93
"A03043/R05393",5088.5535,107.95,92.75
"A03043/R05405",4974.182,108.585,93.25
"A03043/R05425",4880.55,110.49,90.75
"A03043/R05512",4760.5545,109.855,94
