"env","cor"
"19CS",0.207491642012462
"19TA",0.389176529434409
"20CS",0.477229744352608
"20LY",0.415994649773717
"19CS",0.186095909502666
"19TA",0.500051091893821
"20CS",0.554373422362454
"20LY",0.390109971210145
"19CS",0.431713303835425
"19TA",0.7207110905768
"20CS",0.561245894954458
"20LY",0.384882447968991
"19CS",0.191635687107847
"19TA",0.697351916840903
"20CS",0.457148098756448
"20LY",0.375536296917443
"19CS",0.30350076007493
"19TA",0.534997382248766
"20CS",0.590223791142623
"20LY",0.392626916367121
