"","V1","V2"
"0.702711478883852",0.702711478883852,5.7591667230032e-28
"0.704752991166916",0.704752991166916,3.47003988511852e-28
"0.706732784823917",0.706732784823917,2.11425182021527e-28
"0.70865055945643",0.70865055945643,1.30317690281282e-28
"0.710506427617644",0.710506427617644,8.12840344579262e-29
"0.712301463285205",0.712301463285205,5.13078310478674e-29
"0.714037102676751",0.714037102676751,3.27728093714234e-29
"0.715715697196237",0.715715697196237,2.11767824227771e-29
"0.717340249189783",0.717340249189783,1.3835773128643e-29
"0.718914467324607",0.718914467324607,9.13339925991017e-30
"0.720442634081162",0.720442634081162,6.08633599983153e-30
"0.721929432146259",0.721929432146259,4.08998604179733e-30
"0.723379805724905",0.723379805724905,2.7684226830291e-30
"0.724799057513915",0.724799057513915,1.88509082792118e-30
"0.726191882173689",0.726191882173689,1.28979990052463e-30
"0.727563171065968",0.727563171065968,8.85658170464468e-31
"0.728916492239988",0.728916492239988,6.09778405446847e-31
"0.730254897546837",0.730254897546837,4.20630357781812e-31
"0.731580831756153",0.731580831756153,2.90521008834126e-31
"0.732895663435191",0.732895663435191,2.00841392985757e-31
"0.734200049617564",0.734200049617564,1.38951027479931e-31
"0.735494567962683",0.735494567962683,9.61934069052686e-32
"0.736779197064187",0.736779197064187,6.66375488915209e-32
"0.738053583641081",0.738053583641081,4.61997649819414e-32
"0.739317796196528",0.739317796196528,3.20562320826623e-32
"0.740570960403784",0.740570960403784,2.22669825020329e-32
"0.741812176126627",0.741812176126627,1.54887591693144e-32
"0.743040966932518",0.743040966932518,1.07908806126889e-32
"0.744255621501401",0.744255621501401,7.53392629288526e-33
"0.745454339691795",0.745454339691795,5.27431243412462e-33
"0.746635383943324",0.746635383943324,3.704616466154e-33
"0.747796666770594",0.747796666770594,2.612506201568e-33
"0.748936418897108",0.748936418897108,1.85086975067446e-33
"0.750053169350473",0.750053169350473,1.31805032846435e-33
"0.751145747117703",0.751145747117703,9.43893240495667e-34
"0.752214377930243",0.752214377930243,6.79769633041698e-34
"0.753258734676972",0.753258734676972,4.92419516714126e-34
"0.754280585220455",0.754280585220455,3.58630733565923e-34
"0.755280966111541",0.755280966111541,2.62540846870769e-34
"0.756262130526779",0.756262130526779,1.9306913960968e-34
"0.757225795326911",0.757225795326911,1.42558252045039e-34
"0.758174344395194",0.758174344395194,1.05617517890838e-34
"0.759109476178979",0.759109476178979,7.84752797004961e-35
"0.760032059312431",0.760032059312431,5.84632935019736e-35
"0.760943324502443",0.760943324502443,4.365506512541e-35
"0.76184386950971",0.76184386950971,3.26678132669922e-35
"0.762733858503736",0.762733858503736,2.44980890906283e-35
"0.763613017149277",0.763613017149277,1.84130329068586e-35
"0.76448114150695",0.76448114150695,1.38721686324055e-35
"0.765338325981062",0.765338325981062,1.04759204953986e-35
"0.766184297255216",0.766184297255216,7.93093037803409e-36
"0.767018971806185",0.767018971806185,6.01961687081446e-36
"0.767842633680124",0.767842633680124,4.58038626490937e-36
"0.768655042657892",0.768655042657892,3.49441888051413e-36
"0.769456350704316",0.769456350704316,2.67289531879598e-36
"0.770246964175783",0.770246964175783,2.04965147291766e-36
"0.771026069391482",0.771026069391482,1.57617390193012e-36
"0.771794959245633",0.771794959245633,1.21501272108442e-36
"0.772553407255267",0.772553407255267,9.38984163776547e-37
"0.773302059730891",0.773302059730891,7.27370313238871e-37
"0.774041962840887",0.774041962840887,5.64586875880014e-37
"0.77477390487773",0.77477390487773,4.39013745131435e-37
"0.775499270137377",0.775499270137377,3.41822450983763e-37
"0.776219419554765",0.776219419554765,2.66379991886224e-37
"0.776935220467826",0.776935220467826,2.0770943016281e-37
"0.777647376690272",0.777647376690272,1.62017665245425e-37
"0.778356470685404",0.778356470685404,1.26396470373304e-37
"0.779062199276838",0.779062199276838,9.86331622407256e-38
"0.779764233652979",0.779764233652979,7.6998107143573e-38
"0.780461361079611",0.780461361079611,6.01584700403615e-38
"0.781152848735761",0.781152848735761,4.70535372087728e-38
"0.781837485757416",0.781837485757416,3.68605221062658e-38
"0.782514496568305",0.782514496568305,2.89290578711944e-38
"0.783183237090301",0.783183237090301,2.27521144539882e-38
"0.783843586351488",0.783843586351488,1.79330576256897e-38
"0.784495706762548",0.784495706762548,1.41650502372319e-38
"0.785139880442",0.785139880442,1.12119174763623e-38
"0.785776785458192",0.785776785458192,8.89084619613307e-39
"0.786407248534365",0.786407248534365,7.06132262913542e-39
"0.787031797134176",0.787031797134176,5.61607679995478e-39
"0.787650764791179",0.787650764791179,4.47237520252698e-39
"0.788264450213922",0.788264450213922,3.56583054778296e-39
"0.788873048407514",0.788873048407514,2.84626672933779e-39
"0.789476240986872",0.789476240986872,2.2747864754796e-39
"0.790073957296671",0.790073957296671,1.82043029438528e-39
"0.790665839308766",0.790665839308766,1.45895191292384e-39
"0.791251441508335",0.791251441508335,1.17117439340036e-39
"0.791830659028023",0.791830659028023,9.41761941940343e-40
"0.792403017248589",0.792403017248589,7.58727669620458e-40
"0.792968456030021",0.792968456030021,6.12455926875525e-40
"0.793526725243323",0.793526725243323,4.95402622717787e-40
"0.794077571294772",0.794077571294772,4.01594501977592e-40
"0.794621411647598",0.794621411647598,3.26214730599699e-40
"0.795158324446188",0.795158324446188,2.65522785800551e-40
"0.795688798525842",0.795688798525842,2.16525787017155e-40
"0.796213195279212",0.796213195279212,1.76878327948572e-40
"0.796732225072094",0.796732225072094,1.44705459505044e-40
"0.797246789453644",0.797246789453644,1.185209088543e-40
"0.797757458525112",0.797757458525112,9.71658352983199e-41
"0.798264851904512",0.798264851904512,7.97150005199088e-41
"0.798769723908501",0.798769723908501,6.5425875671377e-41
"0.799272038327513",0.799272038327513,5.37218166896489e-41
"0.799771851918141",0.799771851918141,4.4130240268494e-41
"0.800268927031277",0.800268927031277,3.62701683432093e-41
"0.800762165385564",0.800762165385564,2.98388674019429e-41
"0.801250701478363",0.801250701478363,2.45803655017626e-41
"0.801733552350176",0.801733552350176,2.02835195257443e-41
"0.80220906043024",0.80220906043024,1.67780669583621e-41
"0.802676457056066",0.802676457056066,1.39164103094794e-41
"0.803134455968082",0.803134455968082,1.1580676244501e-41
"0.803582643463613",0.803582643463613,9.67044197086203e-42
"0.804020923835699",0.804020923835699,8.10389052407588e-42
"0.804449233734244",0.804449233734244,6.81552128336964e-42
"0.804868632118981",0.804868632118981,5.75027288275889e-42
"0.805279811973538",0.805279811973538,4.86575183573641e-42
"0.805683701538072",0.805683701538072,4.12789736379323e-42
"0.806081763845244",0.806081763845244,3.5089245410516e-42
"0.806474479014614",0.806474479014614,2.98817818526835e-42
"0.806862890249045",0.806862890249045,2.54827443113947e-42
"0.807247158578948",0.807247158578948,2.17605048095019e-42
"0.807627603938968",0.807627603938968,1.86046664780476e-42
"0.808004223735156",0.808004223735156,1.59260989484274e-42
"0.808376553806227",0.808376553806227,1.36527134780537e-42
"0.808744168466699",0.808744168466699,1.17228122882504e-42
"0.809106861896496",0.809106861896496,1.00830067626992e-42
"0.809464276807921",0.809464276807921,8.68887524947999e-43
"0.809816422733061",0.809816422733061,7.5016384737008e-43
"0.81016297827104",0.81016297827104,6.48980519364949e-43
"0.810504254442163",0.810504254442163,5.62521717107841e-43
"0.810840313778442",0.810840313778442,4.88509491036332e-43
"0.81117125531193",0.81117125531193,4.25030364193803e-43
"0.811497091339745",0.811497091339745,3.7049555871009e-43
"0.811818143863782",0.811818143863782,3.23525186400896e-43
"0.812133968875206",0.812133968875206,2.83061982600757e-43
"0.812444774343051",0.812444774343051,2.48124762644628e-43
"0.81275039135905",0.81275039135905,2.17926365413566e-43
"0.813050695006612",0.813050695006612,1.91791153077561e-43
"0.813345778824047",0.813345778824047,1.69127471320262e-43
"0.81363581374459",0.81363581374459,1.49430637801272e-43
"0.813921214459872",0.813921214459872,1.32261237244229e-43
"0.814202413047918",0.814202413047918,1.17251027901254e-43
"0.814480096188168",0.814480096188168,1.04080056812058e-43
"0.81475485997766",0.81475485997766,9.2486179723102e-44
"0.815027291944356",0.815027291944356,8.22502334591368e-44
"0.815297891325707",0.815297891325707,7.31908434639901e-44
"0.815566904573589",0.815566904573589,6.5161467540605e-44
"0.815834432271211",0.815834432271211,5.803924559725e-44
"0.816100183405586",0.816100183405586,5.17255837667678e-44
"0.816363914495553",0.816363914495553,4.61306007391475e-44
"0.816625091732814",0.816625091732814,4.11789593927363e-44
"0.816883006614403",0.816883006614403,3.68044515456866e-44
"0.81713735009824",0.81713735009824,3.29401325407974e-44
"0.817387436767182",0.817387436767182,2.95313581113865e-44
"0.817633076389053",0.817633076389053,2.65224883583619e-44
"0.817874031834096",0.817874031834096,2.38652873774936e-44
"0.818110354301599",0.818110354301599,2.15146674466305e-44
"0.818342055849246",0.818342055849246,1.94320917072257e-44
"0.818569537523013",0.818569537523013,1.75811925281631e-44
"0.818793087280883",0.818793087280883,1.59319549302838e-44
"0.819012887699233",0.819012887699233,1.44593818598334e-44
"0.819229391265172",0.819229391265172,1.3140328071955e-44
"0.819442753802813",0.819442753802813,1.19566897439485e-44
"0.819653337588237",0.819653337588237,1.08917208451718e-44
"0.819861026724623",0.819861026724623,9.93315342161126e-45
"0.820065957063381",0.820065957063381,9.06898534644157e-45
"0.820268312520639",0.820268312520639,8.28853062552075e-45
"0.820468055289088",0.820468055289088,7.58320441763741e-45
"0.820665064129553",0.820665064129553,6.94559753805699e-45
"0.820859529646158",0.820859529646158,6.36814545955817e-45
"0.821051371746109",0.821051371746109,5.84494045766762e-45
"0.821240914967279",0.821240914967279,5.36969474226227e-45
"0.821428220429894",0.821428220429894,4.93754525966236e-45
"0.8216133895419",0.8216133895419,4.54408288612151e-45
"0.821796940065423",0.821796940065423,4.18461400532339e-45
"0.821978959195521",0.821978959195521,3.855871399185e-45
"0.822159945265047",0.822159945265047,3.55427598323281e-45
"0.822339861198961",0.822339861198961,3.27754819749404e-45
"0.822519158565459",0.822519158565459,3.02293276219406e-45
"0.822697879073082",0.822697879073082,2.78856964344428e-45
"0.822876046171215",0.822876046171215,2.57278684721996e-45
"0.82305362486385",0.82305362486385,2.37411958799142e-45
"0.823230512159708",0.823230512159708,2.19128282385151e-45
"0.823406586996795",0.823406586996795,2.02309172940983e-45
"0.82358159867549",0.82358159867549,1.86854659855819e-45
"0.823755414648152",0.823755414648152,1.7265943299033e-45
"0.823928095194307",0.823928095194307,1.59611247283948e-45
"0.824099549416066",0.824099549416066,1.47618956874679e-45
"0.824269617937832",0.824269617937832,1.36602464275075e-45
"0.824438513169037",0.824438513169037,1.26465299518904e-45
"0.824606213985552",0.824606213985552,1.17134690628592e-45
"0.824773057891379",0.824773057891379,1.08526201269411e-45
