"env","cor"
"19CS",0.777464838731695
"19TA",0.806585603727364
"20CS",0.627569897507903
"20LY",0.803532636739741
"19CS",0.775304510428952
"19TA",0.802564915741206
"20CS",0.735961189728771
"20LY",0.80718448369012
"19CS",0.766734323364495
"19TA",0.859001187205471
"20CS",0.710255923738524
"20LY",0.765712080005908
"19CS",0.768861316114787
"19TA",0.827618786259876
"20CS",0.741314222321177
"20LY",0.780025875690357
"19CS",0.701354375315777
"19TA",0.780249519841238
"20CS",0.639493225148611
"20LY",0.671514705398779
