"env","cor"
"19CS",0.726675757455767
"19TA",0.700225702645551
"20CS",0.642326655965488
"20LY",0.616123305325465
"19CS",0.595391552846823
"19TA",0.641397305040134
"20CS",0.68403805122288
"20LY",0.45440300517704
"19CS",0.689705704666441
"19TA",0.781476597097998
"20CS",0.731914044223865
"20LY",0.72317472307613
"19CS",0.668477155538659
"19TA",0.708080285669713
"20CS",0.688852931798469
"20LY",0.69923874931353
"19CS",0.599702533281709
"19TA",0.765740591494314
"20CS",0.673571854376503
"20LY",0.496597454608198
