env,pedigree,female,male,ra,ro,rep,test,dy,ph,gy,gy_t_ha
19CS,ATx3409/R08224,ATx3409,R08224,11,294,1,SCHV,87,119.38,2611.982898,2.611982898
19CS,ATx644/R05330,ATx644,R05330,11,246,1,SCHT,83,134.62,2614.495427,2.614495427
19CS,A03121/RTx2944,A03121,RTx2944,15,310,2,SCHV,78,119.38,2955.982766,2.955982766
19CS,A05269/R08303,A05269,R08303,15,262,2,SCHT,79,147.32,2957.510814,2.957510814
19CS,A07124/RTx2935,A07124,RTx2935,6,257,1,SCHT,79,137.16,2986.624584,2.986624584
19CS,A08158/RTx2912,A08158,RTx2912,7,260,1,SCHT,85,152.4,3081.028361,3.081028361
19CS,AKS119/R05512,AKS119,R05512,8,269,1,SCHT,80,154.94,3145.379077,3.145379077
19CS,AKS119/R05393,AKS119,R05393,8,317,1,SCHV,79,139.7,3147.067747,3.147067747
19CS,AKS119/R05393,AKS119,R05393,14,305,2,SCHV,82,124.46,3320.527939,3.320527939
19CS,AKS118/RTx2935,AKS118,RTx2935,14,257,2,SCHT,81,139.7,3320.737436,3.320737436
19CS,A08158/RTx2917,A08158,RTx2917,7,258,1,SCHT,82,137.16,3348.885103,3.348885103
19CS,A06035/R12154,A06035,R12154,19,258,2,SCHT,82,137.16,3793.766094,3.793766094
19CS,ATx3409/R08224,ATx3409,R08224,15,288,2,SCHV,86,134.62,4034.660365,4.034660365
19CS,A05071/R02107,A05071,R02107,15,240,2,SCHT,79,154.94,4036.599098,4.036599098
19CS,A01046/RTx2914,A01046,RTx2914,12,263,2,SCHT,80,134.62,4098.756992,4.098756992
19CS,A03040/RTx2940,A03040,RTx2940,12,311,2,SCHV,82,121.92,4100.1237,4.1001237
19CS,AN263/R08224,AN263,R08224,9,314,1,SCHV,85,144.78,4155.119363,4.155119363
19CS,AN263/R11208,AN263,R11208,9,266,1,SCHT,80,116.84,4157.410406,4.157410406
19CS,A03043/RTx2940,A03043,RTx2940,3,304,1,SCHV,82,127,4220.809424,4.220809424
19CS,A03043/R12148,A03043,R12148,3,256,1,SCHT,82,127,4221.855474,4.221855474
19CS,A11085/R07178,A11085,R07178,8,239,1,SCHT,81,132.08,4356.509541,4.356509541
19CS,A11085/R03248,A11085,R03248,8,287,1,SCHV,79,124.46,4357.294167,4.357294167
19CS,AN268/R12154,AN268,R12154,9,306,1,SCHV,79,109.22,4441.166561,4.441166561
19CS,AN290/R02107,AN290,R02107,9,258,1,SCHT,80,134.62,4442.05794,4.44205794
19CS,A03121/R05425,A03121,R05425,12,293,2,SCHV,84,144.78,4661.216212,4.661216212
19CS,A03121/R05330,A03121,R05330,4,259,1,SCHT,82,137.16,4670.893426,4.670893426
19CS,A03121/R08224,A03121,R08224,4,307,1,SCHV,86,162.56,4671.783788,4.671783788
19CS,AKS117/RTx2914,AKS117,RTx2914,8,303,1,SCHV,80,157.48,4694.1198,4.6941198
19CS,A07118/R12157,A07118,R12157,14,237,2,SCHT,82,119.38,4951.902076,4.951902076
19CS,AKS117/R01302,AKS117,R01302,14,285,2,SCHV,80,119.38,4953.472945,4.953472945
19CS,A03043/RTx2940,A03043,RTx2940,21,296,2,SCHV,84,124.46,4997.718575,4.997718575
19CS,A01362/RTx2943,A01362,RTx2943,21,248,2,SCHT,82,137.16,4998.718118,4.998718118
19CS,A08134/R02107,A08134,R02107,6,315,1,SCHV,75,139.7,5113.318223,5.113318223
19CS,A08134/R04060,A08134,R04060,6,267,1,SCHT,78,134.62,5113.931208,5.113931208
19CS,A03121/R05425,A03121,R05425,4,305,1,SCHV,79,139.7,5146.089373,5.146089373
19CS,A03093/RTx2944,A03093,RTx2944,4,257,1,SCHT,78,134.62,5146.456202,5.146456202
19CS,A07118/R07161,A07118,R07161,16,313,2,SCHV,84,132.08,5151.43747,5.15143747
19CS,A03040/R08306,A03040,R08306,16,265,2,SCHT,75,142.24,5152.225955,5.152225955
19CS,AKS119/RTx2918,AKS119,RTx2918,8,321,1,SCHV,79,142.24,5270.881885,5.270881885
19CS,AKS119/RTx2919,AKS119,RTx2919,8,273,1,SCHT,81,142.24,5271.444248,5.271444248
19CS,A03121/RTx2944,A03121,RTx2944,4,313,1,SCHV,75,134.62,5283.000648,5.283000648
19CS,A03121/RTx2913,A03121,RTx2913,4,265,1,SCHT,83,127,5285.368527,5.285368527
19CS,AKS117/R12148,AKS117,R12148,8,253,1,SCHT,82,127,5385.106665,5.385106665
19CS,AKS117/R01302,AKS117,R01302,8,301,1,SCHV,79,121.92,5387.101888,5.387101888
19CS,AN290/RTx2920,AN290,RTx2920,19,248,2,SCHT,78,119.38,5458.190656,5.458190656
19CS,AKS117/RTx2914,AKS117,RTx2914,19,296,2,SCHV,84,127,5458.504363,5.458504363
19CS,A07118/R07161,A07118,R07161,6,289,1,SCHV,84,124.46,5466.124503,5.466124503
19CS,A07118/R08224,A07118,R08224,6,241,1,SCHT,82,132.08,5466.701541,5.466701541
19CS,AN268/R11158,AN268,R11158,13,310,2,SCHV,75,124.46,5494.103304,5.494103304
19CS,A03017/RTx2918,A03017,RTx2918,13,262,2,SCHT,79,134.62,5495.734695,5.495734695
19CS,AN268/R12148,AN268,R12148,9,260,1,SCHT,75,129.54,5496.064602,5.496064602
19CS,AN268/R11158,AN268,R11158,9,308,1,SCHV,77,124.46,5496.328088,5.496328088
19CS,A08134/R11158,A08134,R11158,12,249,2,SCHT,79,144.78,5540.104922,5.540104922
19CS,AKS116/RTx2936,AKS116,RTx2936,12,297,2,SCHV,80,149.86,5542.462302,5.542462302
19CS,AN268/R12154,AN268,R12154,15,286,2,SCHV,77,121.92,5542.632795,5.542632795
