"","pedigree","female","male","env","blue"
"105","A03121/RTx2944","A03121","RTx2944","19CS",4119.4917
"106","A05071/R02107","A05071","R02107","19CS",5731.9707
"107","A05071/R04060","A05071","R04060","19CS",9103.0501
"108","A05071/R05330","A05071","R05330","19CS",7523.9621
"109","A05071/R05405","A05071","R05405","19CS",7467.42
"110","A05071/R05425","A05071","R05425","19CS",8216.4291
"111","A05071/R08297","A05071","R08297","19CS",8280.9127
"112","A05071/R11158","A05071","R11158","19CS",7685.6568
"113","A05071/R12154","A05071","R12154","19CS",8297.318
"114","A05071/RTx2916","A05071","RTx2916","19CS",7178.5889
"115","A05071/RTx2918","A05071","RTx2918","19CS",8012.173
"116","A05071/RTx2936","A05071","RTx2936","19CS",7116.2325
"117","A05071/RTx2942","A05071","RTx2942","19CS",8857.6523
"118","A05210/R03248","A05210","R03248","19CS",7025.9357
"119","A05210/R05330","A05210","R05330","19CS",8076.7186
"120","A05210/R05405","A05210","R05405","19CS",6416.4755
"121","A05210/R05512","A05210","R05512","19CS",7588.8789
"122","A05210/R08224","A05210","R08224","19CS",7813.8452
"123","A05210/R12145","A05210","R12145","19CS",8051.7863
"124","A05210/R12154","A05210","R12154","19CS",9052.557
"125","A05210/R12157","A05210","R12157","19CS",7715.9105
"126","A05210/RTx2937","A05210","RTx2937","19CS",8982.7302
"127","A05210/RTx2938","A05210","RTx2938","19CS",7367.1455
"128","A05210/RTx2943","A05210","RTx2943","19CS",7707.642
"129","A05269/R01302","A05269","R01302","19CS",7394.1576
"130","A05269/R05330","A05269","R05330","19CS",8378.6262
"131","A05269/R07161","A05269","R07161","19CS",7043.971
"132","A05269/R08303","A05269","R08303","19CS",5219.8764
"133","A05269/R08306","A05269","R08306","19CS",7993.0508
"134","A05269/R11208","A05269","R11208","19CS",7287.8529
"135","A05269/R12156","A05269","R12156","19CS",9108.2803
"136","A05269/RTx2919","A05269","RTx2919","19CS",8094.1451
"137","A05269/RTx2936","A05269","RTx2936","19CS",9089.7498
"138","A05269/RTx2943","A05269","RTx2943","19CS",8425.7973
"139","A05269/RTx2944","A05269","RTx2944","19CS",6738.9009
"140","A06035/R03248","A06035","R03248","19CS",7566.9646
"141","A06035/R05330","A06035","R05330","19CS",7929.188
"142","A06035/R12154","A06035","R12154","19CS",5627.7063
"143","A06035/RTx2913","A06035","RTx2913","19CS",7126.6966
"144","A06035/RTx2917","A06035","RTx2917","19CS",7352.5032
"145","A06035/RTx2920","A06035","RTx2920","19CS",7825.0629
"146","A06035/RTx2936","A06035","RTx2936","19CS",7563.551
"147","A06035/RTx2943","A06035","RTx2943","19CS",8393.0083
"148","A06036/R04104","A06036","R04104","19CS",8143.6856
"149","A06036/R08306","A06036","R08306","19CS",7115.0578
"150","A06036/R11158","A06036","R11158","19CS",8127.7421
"151","A06036/R12156","A06036","R12156","19CS",6909.5138
"152","A06036/RTx2919","A06036","RTx2919","19CS",8259.9989
