pedigree,female,male,env,blue
A05071/RTx2918,A05071,RTx2918,19CS,78.5
A05071/RTx2936,A05071,RTx2936,19CS,78
A05071/RTx2942,A05071,RTx2942,19CS,77
A05210/R03248,A05210,R03248,19CS,79.5
A05210/R05330,A05210,R05330,19CS,81
A05210/R05405,A05210,R05405,19CS,78
A05210/R05512,A05210,R05512,19CS,80
A05210/R08224,A05210,R08224,19CS,83.5
A05210/R12145,A05210,R12145,19CS,83.5
A05210/R12154,A05210,R12154,19CS,80
A05210/R12157,A05210,R12157,19CS,82
A05210/RTx2937,A05210,RTx2937,19CS,79
A05210/RTx2938,A05210,RTx2938,19CS,81
A05210/RTx2943,A05210,RTx2943,19CS,80
A05269/R01302,A05269,R01302,19CS,81.5
A05269/R05330,A05269,R05330,19CS,80.5
A05269/R07161,A05269,R07161,19CS,80.5
A05269/R08303,A05269,R08303,19CS,79.5
A05269/R08306,A05269,R08306,19CS,78
A05269/R11208,A05269,R11208,19CS,83.5
A05269/R12156,A05269,R12156,19CS,82
A05269/RTx2919,A05269,RTx2919,19CS,81.5
A05269/RTx2936,A05269,RTx2936,19CS,81.5
A05269/RTx2943,A05269,RTx2943,19CS,79.5
A05269/RTx2944,A05269,RTx2944,19CS,80.5
A06035/R03248,A06035,R03248,19CS,80
A06035/R05330,A06035,R05330,19CS,80.5
A06035/R12154,A06035,R12154,19CS,81
A06035/RTx2913,A06035,RTx2913,19CS,82
A06035/RTx2917,A06035,RTx2917,19CS,80
A06035/RTx2920,A06035,RTx2920,19CS,79
A06035/RTx2936,A06035,RTx2936,19CS,78.5
A06035/RTx2943,A06035,RTx2943,19CS,83
A06036/R04104,A06036,R04104,19CS,78.5
A06036/R08306,A06036,R08306,19CS,75
A06036/R11158,A06036,R11158,19CS,78
A06036/R12156,A06036,R12156,19CS,78.5
A06036/RTx2919,A06036,RTx2919,19CS,84
A06036/RTx2940,A06036,RTx2940,19CS,74
A07118/R07161,A07118,R07161,19CS,84
A07118/R08224,A07118,R08224,19CS,82.5
A07118/R08304,A07118,R08304,19CS,80
A07118/R12145,A07118,R12145,19CS,83.5
A07118/R12148,A07118,R12148,19CS,82.5
A07118/R12157,A07118,R12157,19CS,81.5
A07118/RTx2919,A07118,RTx2919,19CS,82.5
A07118/RTx2944,A07118,RTx2944,19CS,77
A07124/R01302,A07124,R01302,19CS,77
A07124/R04060,A07124,R04060,19CS,80.5
A07124/R05330,A07124,R05330,19CS,82
A07124/R05425,A07124,R05425,19CS,79.5
A07124/R07178,A07124,R07178,19CS,82
A07124/R11158,A07124,R11158,19CS,79
A07124/R11208,A07124,R11208,19CS,80.5
A07124/RTx2917,A07124,RTx2917,19CS,80.5
A07124/RTx2919,A07124,RTx2919,19CS,81.5
A07124/RTx2935,A07124,RTx2935,19CS,78.5
A07124/RTx2943,A07124,RTx2943,19CS,81
A08068/R03248,A08068,R03248,19CS,78
A08068/R07161,A08068,R07161,19CS,82
A08068/R11158,A08068,R11158,19CS,76.5
A08068/R12156,A08068,R12156,19CS,84
A08068/RTx2919,A08068,RTx2919,19CS,80
A08068/RTx2941,A08068,RTx2941,19CS,80
A08134/R02107,A08134,R02107,19CS,75
A08134/R04060,A08134,R04060,19CS,76.5
A08134/R05405,A08134,R05405,19CS,75
A08134/R07178,A08134,R07178,19CS,77.5
A08134/R08297,A08134,R08297,19CS,75
A08134/R11158,A08134,R11158,19CS,76.5
A08134/R12148,A08134,R12148,19CS,78
