"","pedigree","female","male","env","blue"
"476","AKS116/R12154","AKS116","R12154","19TA",138.43
"477","AKS116/RTx2920","AKS116","RTx2920","19TA",133.35
"478","AKS116/RTx2940","AKS116","RTx2940","19TA",149.86
"479","AKS116/RTx2944","AKS116","RTx2944","19TA",142.24
"480","AKS117/R12148","AKS117","R12148","19TA",144.78
"481","AKS118/R12156","AKS118","R12156","19TA",128.27
"482","AKS118/RTx2916","AKS118","RTx2916","19TA",139.7
"483","AKS118/RTx2935","AKS118","RTx2935","19TA",143.51
"484","AKS119/R05386","AKS119","R05386","19TA",133.35
"485","AKS119/R05512","AKS119","R05512","19TA",146.05
"486","AKS119/RTx2914","AKS119","RTx2914","19TA",156.21
"487","AKS119/RTx2919","AKS119","RTx2919","19TA",157.48
"488","AKS120/R04060","AKS120","R04060","19TA",152.4
"489","AKS120/R07161","AKS120","R07161","19TA",166.37
"490","AKS120/R08306","AKS120","R08306","19TA",157.48
"491","AKS120/R12148","AKS120","R12148","19TA",158.75
"492","AKS120/RTx2935","AKS120","RTx2935","19TA",158.75
"493","AKS120/RTx2944","AKS120","RTx2944","19TA",157.48
"494","AN263/R11208","AN263","R11208","19TA",114.3
"495","AN263/RTx2935","AN263","RTx2935","19TA",132.08
"496","AN263/RTx2938","AN263","RTx2938","19TA",116.84
"497","AN268/R12148","AN268","R12148","19TA",130.81
"498","AN290/R02107","AN290","R02107","19TA",135.89
"499","AN290/R05386","AN290","R05386","19TA",123.19
"500","AN290/R12154","AN290","R12154","19TA",133.35
"501","AN290/RTx2920","AN290","RTx2920","19TA",139.7
"502","AN290/RTx2943","AN290","RTx2943","19TA",140.97
"503","ATx2921/R05330","ATx2921","R05330","19TA",165.1
"504","ATx2921/R07178","ATx2921","R07178","19TA",149.86
"505","ATx2921/R12157","ATx2921","R12157","19TA",154.94
"506","ATx2921/RTx2918","ATx2921","RTx2918","19TA",149.86
"507","ATx2923/R03248","ATx2923","R03248","19TA",144.78
"508","ATx2923/R05405","ATx2923","R05405","19TA",163.83
"509","ATx2923/R08297","ATx2923","R08297","19TA",140.97
"510","ATx2923/R11208","ATx2923","R11208","19TA",132.08
"511","ATx2923/RTx2913","ATx2923","RTx2913","19TA",156.21
"512","ATx2923/RTx2936","ATx2923","RTx2936","19TA",152.4
"513","ATx2924/R05386","ATx2924","R05386","19TA",137.16
"514","ATx2924/R05512","ATx2924","R05512","19TA",149.86
"515","ATx2924/R11158","ATx2924","R11158","19TA",158.75
"516","ATx2924/RTx2918","ATx2924","RTx2918","19TA",149.86
"517","ATx2924/RTx2936","ATx2924","RTx2936","19TA",154.94
"518","ATx2924/RTx2941","ATx2924","RTx2941","19TA",152.4
"519","ATx2926/R05393","ATx2926","R05393","19TA",139.7
"520","ATx2926/R07161","ATx2926","R07161","19TA",160.02
"521","ATx2926/R08304","ATx2926","R08304","19TA",160.02
"522","ATx2926/RTx2913","ATx2926","RTx2913","19TA",154.94
"523","ATx2926/RTx2919","ATx2926","RTx2919","19TA",153.67
"524","ATx2927/R12157","ATx2927","R12157","19TA",149.86
"525","ATx2927/RTx2937","ATx2927","RTx2937","19TA",135.89
"526","ATx2930/R02107","ATx2930","R02107","19TA",154.94
"527","ATx2930/R05393","ATx2930","R05393","19TA",143.51
"528","ATx2930/R07178","ATx2930","R07178","19TA",151.13
"529","ATx2930/R11158","ATx2930","R11158","19TA",163.83
"530","ATx2930/R12154","ATx2930","R12154","19TA",146.05
"531","ATx2930/RTx2940","ATx2930","RTx2940","19TA",139.7
"532","ATx2931/R01302","ATx2931","R01302","19TA",162.56
"533","ATx2931/R07161","ATx2931","R07161","19TA",166.37
"534","ATx2931/R08304","ATx2931","R08304","19TA",167.64
"535","ATx2931/R11208","ATx2931","R11208","19TA",111.76
"536","ATx2931/RTx2940","ATx2931","RTx2940","19TA",152.4
"537","ATx2934/R05386","ATx2934","R05386","19TA",137.16
"538","ATx2934/R11208","ATx2934","R11208","19TA",115.57
"539","ATx2934/RTx2935","ATx2934","RTx2935","19TA",125.73
"540","ATx3408/R05330","ATx3408","R05330","19TA",162.56
"541","ATx3408/RTx2935","ATx3408","RTx2935","19TA",154.94
"542","ATx644/R05330","ATx644","R05330","19TA",146.05
"543","ATx644/RTx2935","ATx644","RTx2935","19TA",144.78
"544","A01021/R01302","A01021","R01302","20CS",144.78
"545","A01021/R02107","A01021","R02107","20CS",144.78
"546","A01021/R05425","A01021","R05425","20CS",167.64
"547","A01021/R07178","A01021","R07178","20CS",143.51
"548","A01021/R11158","A01021","R11158","20CS",158.75
"549","A01021/R12145","A01021","R12145","20CS",137.16
"550","A01021/RTx2917","A01021","RTx2917","20CS",144.78
"551","A01021/RTx2935","A01021","RTx2935","20CS",153.67
"552","A01021/RTx2943","A01021","RTx2943","20CS",156.21
"553","A01046/R04104","A01046","R04104","20CS",127
"554","A01046/R05386","A01046","R05386","20CS",124.46
"555","A01046/R05512","A01046","R05512","20CS",137.16
"556","A01046/R11208","A01046","R11208","20CS",119.38
"557","A01046/R12156","A01046","R12156","20CS",119.38
"558","A01046/RTx2914","A01046","RTx2914","20CS",127
"559","A01046/RTx2935","A01046","RTx2935","20CS",133.35
"560","A01362/R04060","A01362","R04060","20CS",125.73
"561","A01362/R05330","A01362","R05330","20CS",137.16
"562","A01362/R05512","A01362","R05512","20CS",120.65
"563","A01362/R07178","A01362","R07178","20CS",128.27
"564","A01362/R08304","A01362","R08304","20CS",138.43
"565","A01362/R12145","A01362","R12145","20CS",130.81
"566","A01362/RTx2912","A01362","RTx2912","20CS",119.38
"567","A01362/RTx2914","A01362","RTx2914","20CS",133.35
"568","A01362/RTx2919","A01362","RTx2919","20CS",133.35
"569","A01362/RTx2937","A01362","RTx2937","20CS",124.46
"570","A01362/RTx2943","A01362","RTx2943","20CS",133.35
"571","A03017/R04060","A03017","R04060","20CS",137.16
"572","A03017/R04104","A03017","R04104","20CS",132.08
"573","A03017/RTx2918","A03017","RTx2918","20CS",128.27
"574","A03017/RTx2920","A03017","RTx2920","20CS",129.54
"575","A03032/R04060","A03032","R04060","20CS",115.57
"576","A03032/R08297","A03032","R08297","20CS",113.03
"577","A03032/RTx2913","A03032","RTx2913","20CS",127
"578","A03032/RTx2918","A03032","RTx2918","20CS",113.03
"579","A03032/RTx2942","A03032","RTx2942","20CS",115.57
"580","A03032/RTx2943","A03032","RTx2943","20CS",138.43
"581","A03040/R03248","A03040","R03248","20CS",144.78
"582","A03040/R04104","A03040","R04104","20CS",139.7
"583","A03040/R05393","A03040","R05393","20CS",133.35
"584","A03040/R07178","A03040","R07178","20CS",142.24
"585","A03040/R08306","A03040","R08306","20CS",146.05
"586","A03040/R12071","A03040","R12071","20CS",133.35
"587","A03040/R12154","A03040","R12154","20CS",154.94
"588","A03040/RTx2913","A03040","RTx2913","20CS",156.21
"589","A03040/RTx2917","A03040","RTx2917","20CS",142.24
"590","A03040/RTx2940","A03040","RTx2940","20CS",138.43
"591","A03040/RTx2942","A03040","RTx2942","20CS",147.32
"592","A03043/R01302","A03043","R01302","20CS",140.97
"593","A03043/R04104","A03043","R04104","20CS",130.81
"594","A03043/R05330","A03043","R05330","20CS",146.05
"595","A03043/R05386","A03043","R05386","20CS",119.38
"596","A03043/R05425","A03043","R05425","20CS",137.16
"597","A03043/R08297","A03043","R08297","20CS",123.19
"598","A03043/R08304","A03043","R08304","20CS",134.62
"599","A03043/R12148","A03043","R12148","20CS",127
"600","A03043/RTx2913","A03043","RTx2913","20CS",138.43
"601","A03043/RTx2920","A03043","RTx2920","20CS",133.35
"602","A03043/RTx2940","A03043","RTx2940","20CS",138.43
"603","A03054/R01302","A03054","R01302","20CS",132.08
"604","A03054/R05405","A03054","R05405","20CS",134.62
"605","A03054/R07161","A03054","R07161","20CS",137.16
"606","A03054/R12156","A03054","R12156","20CS",123.19
"607","A03054/RTx2918","A03054","RTx2918","20CS",123.19
"608","A03054/RTx2936","A03054","RTx2936","20CS",125.73
"609","A03054/RTx2940","A03054","RTx2940","20CS",113.03
"610","A03054/RTx2941","A03054","RTx2941","20CS",118.11
"611","A03055/R04104","A03055","R04104","20CS",130.81
"612","A03055/R05330","A03055","R05330","20CS",147.32
"613","A03055/R07161","A03055","R07161","20CS",143.51
"614","A03055/R08297","A03055","R08297","20CS",129.54
"615","A03055/R12148","A03055","R12148","20CS",133.35
"616","A03055/RTx2918","A03055","RTx2918","20CS",135.89
"617","A03055/RTx2936","A03055","RTx2936","20CS",138.43
"618","A03055/RTx2942","A03055","RTx2942","20CS",130.81
"619","A03055/RTx2943","A03055","RTx2943","20CS",151.13
"620","A03055/RTx2944","A03055","RTx2944","20CS",135.89
"621","A03089/R04104","A03089","R04104","20CS",140.97
"622","A03089/R05393","A03089","R05393","20CS",118.11
"623","A03089/R08224","A03089","R08224","20CS",182.88
"624","A03089/R12157","A03089","R12157","20CS",124.46
"625","A03089/RTx2914","A03089","RTx2914","20CS",147.32
"626","A03089/RTx2917","A03089","RTx2917","20CS",127
"627","A03093/R02107","A03093","R02107","20CS",134.62
"628","A03093/R05386","A03093","R05386","20CS",124.46
"629","A03093/R05405","A03093","R05405","20CS",140.97
"630","A03093/R07178","A03093","R07178","20CS",135.89
"631","A03093/R08297","A03093","R08297","20CS",124.46
"632","A03093/R12148","A03093","R12148","20CS",134.62
"633","A03093/RTx2913","A03093","RTx2913","20CS",140.97
"634","A03093/RTx2917","A03093","RTx2917","20CS",134.62
"635","A03093/RTx2920","A03093","RTx2920","20CS",120.65
"636","A03093/RTx2940","A03093","RTx2940","20CS",130.81
"637","A03093/RTx2944","A03093","RTx2944","20CS",130.81
"638","A03121/R02107","A03121","R02107","20CS",133.35
"639","A03121/R05330","A03121","R05330","20CS",138.43
"640","A03121/R05425","A03121","R05425","20CS",147.32
"641","A03121/R07178","A03121","R07178","20CS",129.54
"642","A03121/R08224","A03121","R08224","20CS",167.64
"643","A03121/R08303","A03121","R08303","20CS",125.95917
"644","A03121/R12157","A03121","R12157","20CS",134.62
"645","A03121/RTx2913","A03121","RTx2913","20CS",138.43
"646","A03121/RTx2919","A03121","RTx2919","20CS",128.27
"647","A03121/RTx2935","A03121","RTx2935","20CS",124.46
"648","A03121/RTx2944","A03121","RTx2944","20CS",135.89
"649","A05071/R02107","A05071","R02107","20CS",134.62
"650","A05071/R04060","A05071","R04060","20CS",140.97
"651","A05071/R05330","A05071","R05330","20CS",119.38
"652","A05071/R05405","A05071","R05405","20CS",172.72
"653","A05071/R05425","A05071","R05425","20CS",153.67
"654","A05071/R08297","A05071","R08297","20CS",139.7
"655","A05071/R11158","A05071","R11158","20CS",148.59
"656","A05071/R12154","A05071","R12154","20CS",142.24
"657","A05071/RTx2916","A05071","RTx2916","20CS",147.32
"658","A05071/RTx2918","A05071","RTx2918","20CS",143.51
"659","A05071/RTx2936","A05071","RTx2936","20CS",134.62
"660","A05071/RTx2942","A05071","RTx2942","20CS",142.24
"661","A05210/R03248","A05210","R03248","20CS",134.62
"662","A05210/R05330","A05210","R05330","20CS",157.48
"663","A05210/R05405","A05210","R05405","20CS",172.72
"664","A05210/R05512","A05210","R05512","20CS",152.4
"665","A05210/R08224","A05210","R08224","20CS",167.64
"666","A05210/R12145","A05210","R12145","20CS",137.16
"667","A05210/R12154","A05210","R12154","20CS",160.02
"668","A05210/R12157","A05210","R12157","20CS",146.05
"669","A05210/RTx2937","A05210","RTx2937","20CS",134.62
"670","A05210/RTx2938","A05210","RTx2938","20CS",139.7
"671","A05210/RTx2943","A05210","RTx2943","20CS",146.05
"672","A05269/R01302","A05269","R01302","20CS",144.78
"673","A05269/R05330","A05269","R05330","20CS",151.13
"674","A05269/R07161","A05269","R07161","20CS",160.02
"675","A05269/R08303","A05269","R08303","20CS",133.35
"676","A05269/R08306","A05269","R08306","20CS",151.13
"677","A05269/R11208","A05269","R11208","20CS",130.81
"678","A05269/R12156","A05269","R12156","20CS",132.08
"679","A05269/RTx2919","A05269","RTx2919","20CS",133.35
"680","A05269/RTx2936","A05269","RTx2936","20CS",147.32
"681","A05269/RTx2943","A05269","RTx2943","20CS",144.78
"682","A05269/RTx2944","A05269","RTx2944","20CS",148.59
"683","A06035/R03248","A06035","R03248","20CS",121.92
"684","A06035/R05330","A06035","R05330","20CS",138.43
"685","A06035/R12154","A06035","R12154","20CS",124.46
"686","A06035/RTx2913","A06035","RTx2913","20CS",129.54
"687","A06035/RTx2917","A06035","RTx2917","20CS",119.38
"688","A06035/RTx2920","A06035","RTx2920","20CS",123.19
"689","A06035/RTx2936","A06035","RTx2936","20CS",125.73
"690","A06035/RTx2943","A06035","RTx2943","20CS",138.43
"691","A06036/R04104","A06036","R04104","20CS",118.11
"692","A06036/R08306","A06036","R08306","20CS",124.46
"693","A06036/R11158","A06036","R11158","20CS",147.32
"694","A06036/R12156","A06036","R12156","20CS",116.84
"695","A06036/RTx2919","A06036","RTx2919","20CS",129.54
"696","A06036/RTx2940","A06036","RTx2940","20CS",127
"697","A07118/R07161","A07118","R07161","20CS",130.81
"698","A07118/R08224","A07118","R08224","20CS",148.59
"699","A07118/R08304","A07118","R08304","20CS",148.59
"700","A07118/R12145","A07118","R12145","20CS",121.92
"701","A07118/R12148","A07118","R12148","20CS",130.81
"702","A07118/R12157","A07118","R12157","20CS",118.11
"703","A07118/RTx2919","A07118","RTx2919","20CS",127
"704","A07118/RTx2944","A07118","RTx2944","20CS",130.81
"705","A07124/R01302","A07124","R01302","20CS",146.05
"706","A07124/R04060","A07124","R04060","20CS",124.46
"707","A07124/R05330","A07124","R05330","20CS",142.24
"708","A07124/R05425","A07124","R05425","20CS",162.56
"709","A07124/R07178","A07124","R07178","20CS",135.89
"710","A07124/R11158","A07124","R11158","20CS",142.24
"711","A07124/R11208","A07124","R11208","20CS",127
"712","A07124/RTx2917","A07124","RTx2917","20CS",123.19
"713","A07124/RTx2919","A07124","RTx2919","20CS",143.51
"714","A07124/RTx2935","A07124","RTx2935","20CS",129.54
"715","A07124/RTx2943","A07124","RTx2943","20CS",147.32
"716","A08068/R03248","A08068","R03248","20CS",132.08
"717","A08068/R07161","A08068","R07161","20CS",152.4
"718","A08068/R11158","A08068","R11158","20CS",137.16
"719","A08068/R12156","A08068","R12156","20CS",124.46
"720","A08068/RTx2919","A08068","RTx2919","20CS",130.81
"721","A08068/RTx2941","A08068","RTx2941","20CS",137.16
"722","A08134/R02107","A08134","R02107","20CS",153.67
"723","A08134/R04060","A08134","R04060","20CS",139.7
"724","A08134/R05405","A08134","R05405","20CS",184.15
"725","A08134/R07178","A08134","R07178","20CS",142.24
"726","A08134/R08297","A08134","R08297","20CS",138.43
"727","A08134/R11158","A08134","R11158","20CS",165.1
"728","A08134/R12148","A08134","R12148","20CS",154.94
"729","A08134/RTx2918","A08134","RTx2918","20CS",139.7
"730","A08134/RTx2936","A08134","RTx2936","20CS",142.24
"731","A08134/RTx2940","A08134","RTx2940","20CS",130.81
"732","A08134/RTx2943","A08134","RTx2943","20CS",161.29
"733","A08140/R04060","A08140","R04060","20CS",149.86
"734","A08140/R04104","A08140","R04104","20CS",143.51
"735","A08140/R05386","A08140","R05386","20CS",134.62
"736","A08140/R07178","A08140","R07178","20CS",139.7
"737","A08140/R08303","A08140","R08303","20CS",120.65
"738","A08140/R12148","A08140","R12148","20CS",139.7
"739","A08140/R12156","A08140","R12156","20CS",121.92
"740","A08140/RTx2942","A08140","RTx2942","20CS",140.97
"741","A08158/R01302","A08158","R01302","20CS",127
"742","A08158/R03248","A08158","R03248","20CS",154.94
"743","A08158/R05330","A08158","R05330","20CS",142.24
"744","A08158/R07178","A08158","R07178","20CS",158.75
"745","A08158/R08224","A08158","R08224","20CS",162.56
"746","A08158/R12071","A08158","R12071","20CS",158.75
"747","A08158/R12145","A08158","R12145","20CS",124.46
"748","A08158/R12154","A08158","R12154","20CS",158.75
"749","A08158/RTx2912","A08158","RTx2912","20CS",143.51
"750","A08158/RTx2914","A08158","RTx2914","20CS",154.94
"751","A08158/RTx2917","A08158","RTx2917","20CS",137.16
"752","A08158/RTx2939","A08158","RTx2939","20CS",172.72
"753","A11076/R04060","A11076","R04060","20CS",129.54
"754","A11076/R07178","A11076","R07178","20CS",140.97
"755","A11076/R08297","A11076","R08297","20CS",123.19
"756","A11076/R12148","A11076","R12148","20CS",119.38
"757","A11076/R12154","A11076","R12154","20CS",140.97
"758","A11076/RTx2918","A11076","RTx2918","20CS",129.54
"759","A11076/RTx2938","A11076","RTx2938","20CS",138.43
"760","A11076/RTx2940","A11076","RTx2940","20CS",127
"761","A11085/R02107","A11085","R02107","20CS",144.78
"762","A11085/R03248","A11085","R03248","20CS",135.89
"763","A11085/R04104","A11085","R04104","20CS",127
"764","A11085/R07178","A11085","R07178","20CS",130.81
"765","A11085/R12148","A11085","R12148","20CS",133.35
"766","A11085/RTx2942","A11085","RTx2942","20CS",130.81
"767","A11085/RTx2944","A11085","RTx2944","20CS",146.05
"768","AHF14/R07161","AHF14","R07161","20CS",144.78
"769","AHF14/RTx2943","AHF14","RTx2943","20CS",133.35
"770","AKS116/R02107","AKS116","R02107","20CS",146.05
"771","AKS116/R08303","AKS116","R08303","20CS",140.97
"772","AKS116/RTx2917","AKS116","RTx2917","20CS",135.89
"773","AKS116/RTx2920","AKS116","RTx2920","20CS",121.92
"774","AKS116/RTx2936","AKS116","RTx2936","20CS",147.32
"775","AKS116/RTx2940","AKS116","RTx2940","20CS",133.35
"776","AKS116/RTx2942","AKS116","RTx2942","20CS",143.51
"777","AKS116/RTx2944","AKS116","RTx2944","20CS",135.89
"778","AKS117/R01302","AKS117","R01302","20CS",134.62
"779","AKS117/R12148","AKS117","R12148","20CS",125.73
"780","AKS117/RTx2914","AKS117","RTx2914","20CS",138.43
"781","AKS117/RTx2942","AKS117","RTx2942","20CS",133.35
"782","AKS118/R08303","AKS118","R08303","20CS",138.43
"783","AKS118/R12156","AKS118","R12156","20CS",128.27
"784","AKS118/RTx2912","AKS118","RTx2912","20CS",139.7
"785","AKS118/RTx2916","AKS118","RTx2916","20CS",146.05
"786","AKS118/RTx2918","AKS118","RTx2918","20CS",132.08
"787","AKS118/RTx2935","AKS118","RTx2935","20CS",134.62
"788","AKS118/RTx2943","AKS118","RTx2943","20CS",151.13
"789","AKS119/R01302","AKS119","R01302","20CS",135.89
"790","AKS119/R05386","AKS119","R05386","20CS",133.35
"791","AKS119/R05393","AKS119","R05393","20CS",144.78
"792","AKS119/R05512","AKS119","R05512","20CS",134.62
"793","AKS119/R08304","AKS119","R08304","20CS",167.64
"794","AKS119/RTx2914","AKS119","RTx2914","20CS",143.51
"795","AKS119/RTx2918","AKS119","RTx2918","20CS",154.94
"796","AKS119/RTx2919","AKS119","RTx2919","20CS",151.13
"797","AKS120/R04060","AKS120","R04060","20CS",156.21
"798","AKS120/R05425","AKS120","R05425","20CS",166.37
"799","AKS120/R07161","AKS120","R07161","20CS",176.53
"800","AKS120/R08303","AKS120","R08303","20CS",153.67
"801","AKS120/R08306","AKS120","R08306","20CS",157.48
"802","AKS120/R12071","AKS120","R12071","20CS",143.51
"803","AKS120/R12148","AKS120","R12148","20CS",158.75
"804","AKS120/RTx2918","AKS120","RTx2918","20CS",149.86
"805","AKS120/RTx2935","AKS120","RTx2935","20CS",146.05
"806","AKS120/RTx2942","AKS120","RTx2942","20CS",149.86
"807","AKS120/RTx2944","AKS120","RTx2944","20CS",151.13
"808","AN263/R08224","AN263","R08224","20CS",157.48
"809","AN263/R11208","AN263","R11208","20CS",110.49
"810","AN263/R12148","AN263","R12148","20CS",132.08
"811","AN263/RTx2935","AN263","RTx2935","20CS",119.38
"812","AN263/RTx2936","AN263","RTx2936","20CS",129.54
"813","AN263/RTx2938","AN263","RTx2938","20CS",110.49
"814","AN268/R11158","AN268","R11158","20CS",133.35
"815","AN268/R12148","AN268","R12148","20CS",124.46
"816","AN268/R12154","AN268","R12154","20CS",125.73
"817","AN290/R02107","AN290","R02107","20CS",129.54
"818","AN290/R03248","AN290","R03248","20CS",143.51
"819","AN290/R05386","AN290","R05386","20CS",116.84
"820","AN290/R07161","AN290","R07161","20CS",154.94
"821","AN290/R12154","AN290","R12154","20CS",127
"822","AN290/RTx2917","AN290","RTx2917","20CS",121.92
"823","AN290/RTx2920","AN290","RTx2920","20CS",129.54
"824","AN290/RTx2942","AN290","RTx2942","20CS",140.97
"825","AN290/RTx2943","AN290","RTx2943","20CS",128.27
"826","ATx2921/R01302","ATx2921","R01302","20CS",158.75
"827","ATx2921/R05330","ATx2921","R05330","20CS",158.75
"828","ATx2921/R05405","ATx2921","R05405","20CS",170.18
"829","ATx2921/R07178","ATx2921","R07178","20CS",140.97
"830","ATx2921/R12145","ATx2921","R12145","20CS",138.43
"831","ATx2921/R12157","ATx2921","R12157","20CS",142.24
"832","ATx2921/RTx2914","ATx2921","RTx2914","20CS",162.56
"833","ATx2921/RTx2918","ATx2921","RTx2918","20CS",140.97
"834","ATx2923/R03248","ATx2923","R03248","20CS",128.27
"835","ATx2923/R04104","ATx2923","R04104","20CS",149.86
"836","ATx2923/R05330","ATx2923","R05330","20CS",153.67
"837","ATx2923/R05405","ATx2923","R05405","20CS",167.64
"838","ATx2923/R05425","ATx2923","R05425","20CS",162.56
"839","ATx2923/R08297","ATx2923","R08297","20CS",135.89
"840","ATx2923/R11158","ATx2923","R11158","20CS",165.1
"841","ATx2923/R11208","ATx2923","R11208","20CS",120.65
"842","ATx2923/R12145","ATx2923","R12145","20CS",129.54
"843","ATx2923/RTx2913","ATx2923","RTx2913","20CS",142.24
"844","ATx2923/RTx2917","ATx2923","RTx2917","20CS",135.89
"845","ATx2923/RTx2936","ATx2923","RTx2936","20CS",144.78
"846","ATx2924/R04060","ATx2924","R04060","20CS",140.97
"847","ATx2924/R05386","ATx2924","R05386","20CS",130.81
"848","ATx2924/R05393","ATx2924","R05393","20CS",130.81
"849","ATx2924/R05512","ATx2924","R05512","20CS",133.35
"850","ATx2924/R08224","ATx2924","R08224","20CS",176.53
"851","ATx2924/R11158","ATx2924","R11158","20CS",163.83
"852","ATx2924/R12145","ATx2924","R12145","20CS",139.7
"853","ATx2924/RTx2918","ATx2924","RTx2918","20CS",147.32
"854","ATx2924/RTx2920","ATx2924","RTx2920","20CS",147.32
"855","ATx2924/RTx2936","ATx2924","RTx2936","20CS",156.21
"856","ATx2924/RTx2940","ATx2924","RTx2940","20CS",143.51
"857","ATx2924/RTx2941","ATx2924","RTx2941","20CS",142.24
"858","ATx2926/R01302","ATx2926","R01302","20CS",149.86
"859","ATx2926/R05393","ATx2926","R05393","20CS",128.27
"860","ATx2926/R05405","ATx2926","R05405","20CS",163.83
"861","ATx2926/R07161","ATx2926","R07161","20CS",160.02
"862","ATx2926/R08297","ATx2926","R08297","20CS",152.4
"863","ATx2926/R08304","ATx2926","R08304","20CS",147.32
"864","ATx2926/R12154","ATx2926","R12154","20CS",128.27
"865","ATx2926/RTx2913","ATx2926","RTx2913","20CS",147.32
"866","ATx2926/RTx2917","ATx2926","RTx2917","20CS",140.97
"867","ATx2926/RTx2919","ATx2926","RTx2919","20CS",138.43
"868","ATx2926/RTx2944","ATx2926","RTx2944","20CS",153.67
"869","ATx2927/R12157","ATx2927","R12157","20CS",138.43
"870","ATx2927/RTx2936","ATx2927","RTx2936","20CS",148.59
"871","ATx2927/RTx2937","ATx2927","RTx2937","20CS",123.19
"872","ATx2930/R01302","ATx2930","R01302","20CS",144.78
"873","ATx2930/R02107","ATx2930","R02107","20CS",135.89
"874","ATx2930/R03248","ATx2930","R03248","20CS",146.05
"875","ATx2930/R05393","ATx2930","R05393","20CS",132.08
"876","ATx2930/R05425","ATx2930","R05425","20CS",170.18
"877","ATx2930/R07178","ATx2930","R07178","20CS",142.24
"878","ATx2930/R08303","ATx2930","R08303","20CS",137.16
"879","ATx2930/R11158","ATx2930","R11158","20CS",161.29
"880","ATx2930/R12154","ATx2930","R12154","20CS",147.32
"881","ATx2930/RTx2920","ATx2930","RTx2920","20CS",132.08
"882","ATx2930/RTx2940","ATx2930","RTx2940","20CS",134.62
"883","ATx2930/RTx2942","ATx2930","RTx2942","20CS",143.51
"884","ATx2931/R01302","ATx2931","R01302","20CS",160.02
"885","ATx2931/R05405","ATx2931","R05405","20CS",127
"886","ATx2931/R07161","ATx2931","R07161","20CS",171.45
"887","ATx2931/R08297","ATx2931","R08297","20CS",163.83
"888","ATx2931/R08304","ATx2931","R08304","20CS",167.64
"889","ATx2931/R08306","ATx2931","R08306","20CS",166.37
"890","ATx2931/R11208","ATx2931","R11208","20CS",114.3
"891","ATx2931/RTx2936","ATx2931","RTx2936","20CS",163.83
"892","ATx2931/RTx2940","ATx2931","RTx2940","20CS",138.43
"893","ATx2931/RTx2943","ATx2931","RTx2943","20CS",171.45
"894","ATx2934/R05386","ATx2934","R05386","20CS",121.92
"895","ATx2934/R08297","ATx2934","R08297","20CS",120.65
"896","ATx2934/R11208","ATx2934","R11208","20CS",115.57
"897","ATx2934/R12157","ATx2934","R12157","20CS",143.51
"898","ATx2934/RTx2935","ATx2934","RTx2935","20CS",118.11
"899","ATx2934/RTx2941","ATx2934","RTx2941","20CS",139.7
"900","ATx3408/R05330","ATx3408","R05330","20CS",153.67
"901","ATx3408/R12145","ATx3408","R12145","20CS",151.13
"902","ATx3408/RTx2935","ATx3408","RTx2935","20CS",140.97
"903","ATx3409/R08224","ATx3409","R08224","20CS",134.62
"904","ATx644/R05330","ATx644","R05330","20CS",133.35
"905","ATx644/R08224","ATx644","R08224","20CS",172.72
"906","ATx644/RTx2935","ATx644","RTx2935","20CS",130.81
"907","ATx644/RTx2936","ATx644","RTx2936","20CS",134.62
"908","A01021/R01302","A01021","R01302","20LY",120.65
"909","A01021/R05425","A01021","R05425","20LY",139.7
"910","A01021/R11158","A01021","R11158","20LY",127
"911","A01021/RTx2917","A01021","RTx2917","20LY",120.65
"912","A01021/RTx2943","A01021","RTx2943","20LY",120.65
"913","A01046/R04104","A01046","R04104","20LY",99.06
"914","A01046/R05512","A01046","R05512","20LY",111.76
"915","A01046/R12156","A01046","R12156","20LY",105.41
"916","A01046/RTx2935","A01046","RTx2935","20LY",107.95
"917","A01362/R05330","A01362","R05330","20LY",111.76
"918","A01362/R07178","A01362","R07178","20LY",102.87
"919","A01362/R12145","A01362","R12145","20LY",107.95
"920","A01362/RTx2914","A01362","RTx2914","20LY",111.76
"921","A01362/RTx2937","A01362","RTx2937","20LY",99.06
"922","A03017/R04060","A03017","R04060","20LY",124.46
"923","A03017/RTx2920","A03017","RTx2920","20LY",107.95
"924","A03032/R08297","A03032","R08297","20LY",102.87
"925","A03032/RTx2918","A03032","RTx2918","20LY",99.06
"926","A03032/RTx2943","A03032","RTx2943","20LY",99.06
"927","A03040/R03248","A03040","R03248","20LY",115.57
"928","A03040/R07178","A03040","R07178","20LY",121.92
"929","A03040/RTx2913","A03040","RTx2913","20LY",137.16
"930","A03040/RTx2940","A03040","RTx2940","20LY",115.57
"931","A03043/R01302","A03043","R01302","20LY",121.92
"932","A03043/R05330","A03043","R05330","20LY",101.6
"933","A03043/R05425","A03043","R05425","20LY",109.22
"934","A03043/R08304","A03043","R08304","20LY",107.95
"935","A03043/RTx2913","A03043","RTx2913","20LY",105.41
"936","A03043/RTx2940","A03043","RTx2940","20LY",105.41
"937","A03054/R01302","A03054","R01302","20LY",95.25
"938","A03054/R07161","A03054","R07161","20LY",109.22
"939","A03054/RTx2918","A03054","RTx2918","20LY",99.06
"940","A03054/RTx2940","A03054","RTx2940","20LY",99.06
"941","A03055/R04104","A03055","R04104","20LY",92.71
"942","A03055/R07161","A03055","R07161","20LY",109.22
"943","A03055/R12148","A03055","R12148","20LY",107.95
"944","A03055/RTx2936","A03055","RTx2936","20LY",111.76
"945","A03055/RTx2943","A03055","RTx2943","20LY",114.3
