"","pedigree","female","male","env","blue"
"112","A05071/R11158","A05071","R11158","19CS",151.13
"113","A05071/R12154","A05071","R12154","19CS",147.32
"114","A05071/RTx2916","A05071","RTx2916","19CS",144.78
"115","A05071/RTx2918","A05071","RTx2918","19CS",137.16
"116","A05071/RTx2936","A05071","RTx2936","19CS",154.94
"117","A05071/RTx2942","A05071","RTx2942","19CS",142.24
"118","A05210/R03248","A05210","R03248","19CS",151.13
"119","A05210/R05330","A05210","R05330","19CS",163.83
"120","A05210/R05405","A05210","R05405","19CS",177.8
"121","A05210/R05512","A05210","R05512","19CS",160.02
"122","A05210/R08224","A05210","R08224","19CS",187.96
"123","A05210/R12145","A05210","R12145","19CS",149.86
"124","A05210/R12154","A05210","R12154","19CS",172.72
"125","A05210/R12157","A05210","R12157","19CS",151.13
"126","A05210/RTx2937","A05210","RTx2937","19CS",138.43
"127","A05210/RTx2938","A05210","RTx2938","19CS",148.59
"128","A05210/RTx2943","A05210","RTx2943","19CS",167.64
"129","A05269/R01302","A05269","R01302","19CS",143.51
"130","A05269/R05330","A05269","R05330","19CS",163.83
"131","A05269/R07161","A05269","R07161","19CS",162.56
"132","A05269/R08303","A05269","R08303","19CS",142.24
"133","A05269/R08306","A05269","R08306","19CS",144.78
"134","A05269/R11208","A05269","R11208","19CS",123.19
"135","A05269/R12156","A05269","R12156","19CS",133.35
"136","A05269/RTx2919","A05269","RTx2919","19CS",140.97
"137","A05269/RTx2936","A05269","RTx2936","19CS",152.4
"138","A05269/RTx2943","A05269","RTx2943","19CS",151.13
"139","A05269/RTx2944","A05269","RTx2944","19CS",139.7
"140","A06035/R03248","A06035","R03248","19CS",130.81
"141","A06035/R05330","A06035","R05330","19CS",142.24
"142","A06035/R12154","A06035","R12154","19CS",140.97
"143","A06035/RTx2913","A06035","RTx2913","19CS",135.89
"144","A06035/RTx2917","A06035","RTx2917","19CS",129.54
"145","A06035/RTx2920","A06035","RTx2920","19CS",123.19
"146","A06035/RTx2936","A06035","RTx2936","19CS",146.05
"147","A06035/RTx2943","A06035","RTx2943","19CS",139.7
"148","A06036/R04104","A06036","R04104","19CS",121.92
"149","A06036/R08306","A06036","R08306","19CS",133.35
"150","A06036/R11158","A06036","R11158","19CS",129.54
"151","A06036/R12156","A06036","R12156","19CS",124.46
"152","A06036/RTx2919","A06036","RTx2919","19CS",132.08
"153","A06036/RTx2940","A06036","RTx2940","19CS",133.35
"154","A07118/R07161","A07118","R07161","19CS",128.27
"155","A07118/R08224","A07118","R08224","19CS",144.78
"156","A07118/R08304","A07118","R08304","19CS",146.05
"157","A07118/R12145","A07118","R12145","19CS",120.65
"158","A07118/R12148","A07118","R12148","19CS",144.78
"159","A07118/R12157","A07118","R12157","19CS",123.19
"160","A07118/RTx2919","A07118","RTx2919","19CS",132.08
"161","A07118/RTx2944","A07118","RTx2944","19CS",140.97
"162","A07124/R01302","A07124","R01302","19CS",151.13
"163","A07124/R04060","A07124","R04060","19CS",138.43
"164","A07124/R05330","A07124","R05330","19CS",152.4
"165","A07124/R05425","A07124","R05425","19CS",171.45
"166","A07124/R07178","A07124","R07178","19CS",132.08
"167","A07124/R11158","A07124","R11158","19CS",158.75
"168","A07124/R11208","A07124","R11208","19CS",128.27
"169","A07124/RTx2917","A07124","RTx2917","19CS",130.81
"170","A07124/RTx2919","A07124","RTx2919","19CS",139.7
"171","A07124/RTx2935","A07124","RTx2935","19CS",142.24
"172","A07124/RTx2943","A07124","RTx2943","19CS",154.94
"173","A08068/R03248","A08068","R03248","19CS",134.62
"174","A08068/R07161","A08068","R07161","19CS",153.67
"175","A08068/R11158","A08068","R11158","19CS",146.05
"176","A08068/R12156","A08068","R12156","19CS",125.73
