pedigree,female,male,env,blue
A05210/RTx2937,A05210,RTx2937,19CS,2.71
A05210/RTx2938,A05210,RTx2938,19CS,3.125
A05210/RTx2943,A05210,RTx2943,19CS,2.89
A05269/R01302,A05269,R01302,19CS,2.785
A05269/R05330,A05269,R05330,19CS,2.345
A05269/R07161,A05269,R07161,19CS,3.11
A05269/R08303,A05269,R08303,19CS,2.595
A05269/R08306,A05269,R08306,19CS,2.67
A05269/R11208,A05269,R11208,19CS,2.47
A05269/R12156,A05269,R12156,19CS,2.675
A05269/RTx2919,A05269,RTx2919,19CS,2.565
A05269/RTx2936,A05269,RTx2936,19CS,3.17
A05269/RTx2943,A05269,RTx2943,19CS,2.775
A05269/RTx2944,A05269,RTx2944,19CS,2.795
A06035/R03248,A06035,R03248,19CS,2.635
A06035/R05330,A06035,R05330,19CS,2.805
A06035/R12154,A06035,R12154,19CS,2.575
A06035/RTx2913,A06035,RTx2913,19CS,2.855
A06035/RTx2917,A06035,RTx2917,19CS,2.225
A06035/RTx2920,A06035,RTx2920,19CS,2.45
A06035/RTx2936,A06035,RTx2936,19CS,2.785
A06035/RTx2943,A06035,RTx2943,19CS,3.07
A06036/R04104,A06036,R04104,19CS,2.64
A06036/R08306,A06036,R08306,19CS,2.7
A06036/R11158,A06036,R11158,19CS,2.685
A06036/R12156,A06036,R12156,19CS,2.505
A06036/RTx2919,A06036,RTx2919,19CS,2.845
A06036/RTx2940,A06036,RTx2940,19CS,2.545
A07118/R07161,A07118,R07161,19CS,2.655
A07118/R08224,A07118,R08224,19CS,2.81
A07118/R08304,A07118,R08304,19CS,2.47
A07118/R12145,A07118,R12145,19CS,2.51
A07118/R12148,A07118,R12148,19CS,2.23
A07118/R12157,A07118,R12157,19CS,2.615
A07118/RTx2919,A07118,RTx2919,19CS,2.255
A07118/RTx2944,A07118,RTx2944,19CS,2.715
A07124/R01302,A07124,R01302,19CS,2.43
A07124/R04060,A07124,R04060,19CS,2.545
A07124/R05330,A07124,R05330,19CS,2.55
A07124/R05425,A07124,R05425,19CS,2.46
A07124/R07178,A07124,R07178,19CS,2.855
A07124/R11158,A07124,R11158,19CS,1.71
A07124/R11208,A07124,R11208,19CS,2.33
A07124/RTx2917,A07124,RTx2917,19CS,2.155
A07124/RTx2919,A07124,RTx2919,19CS,2.64
A07124/RTx2935,A07124,RTx2935,19CS,2.555
A07124/RTx2943,A07124,RTx2943,19CS,3.005
A08068/R03248,A08068,R03248,19CS,3
A08068/R07161,A08068,R07161,19CS,3.175
A08068/R11158,A08068,R11158,19CS,2.66
A08068/R12156,A08068,R12156,19CS,2.67
A08068/RTx2919,A08068,RTx2919,19CS,2.775
A08068/RTx2941,A08068,RTx2941,19CS,2.72
A08134/R02107,A08134,R02107,19CS,2.375
A08134/R04060,A08134,R04060,19CS,2.715
A08134/R05405,A08134,R05405,19CS,3.025
A08134/R07178,A08134,R07178,19CS,3.22
A08134/R08297,A08134,R08297,19CS,2.35
A08134/R11158,A08134,R11158,19CS,2.795
A08134/R12148,A08134,R12148,19CS,2.815
A08134/RTx2918,A08134,RTx2918,19CS,2.74
A08134/RTx2936,A08134,RTx2936,19CS,2.9
A08134/RTx2940,A08134,RTx2940,19CS,2.86
A08134/RTx2943,A08134,RTx2943,19CS,2.775
A08140/R04060,A08140,R04060,19CS,2.25
A08140/R04104,A08140,R04104,19CS,2.715
A08140/R05386,A08140,R05386,19CS,2.81
A08140/R07178,A08140,R07178,19CS,2.735
A08140/R08303,A08140,R08303,19CS,1.755
A08140/R12148,A08140,R12148,19CS,2.505
A08140/R12156,A08140,R12156,19CS,1.73
A08140/RTx2942,A08140,RTx2942,19CS,2.555
A08158/R01302,A08158,R01302,19CS,2.75
A08158/R03248,A08158,R03248,19CS,3.07
A08158/R05330,A08158,R05330,19CS,2.795
A08158/R07178,A08158,R07178,19CS,3.14
A08158/R08224,A08158,R08224,19CS,3.005
A08158/R12071,A08158,R12071,19CS,2.685
A08158/R12145,A08158,R12145,19CS,2.695
A08158/R12154,A08158,R12154,19CS,3.28
A08158/RTx2912,A08158,RTx2912,19CS,2.89
A08158/RTx2914,A08158,RTx2914,19CS,2.635
A08158/RTx2917,A08158,RTx2917,19CS,2.515
A08158/RTx2939,A08158,RTx2939,19CS,3.205
A11076/R04060,A11076,R04060,19CS,2
A11076/R07178,A11076,R07178,19CS,3.07
A11076/R08297,A11076,R08297,19CS,2.345
A11076/R12148,A11076,R12148,19CS,2.33
A11076/R12154,A11076,R12154,19CS,2.925
A11076/RTx2918,A11076,RTx2918,19CS,2.73
A11076/RTx2938,A11076,RTx2938,19CS,2.575
A11076/RTx2940,A11076,RTx2940,19CS,2.675
A11085/R02107,A11085,R02107,19CS,2.475
A11085/R03248,A11085,R03248,19CS,2.77
A11085/R04104,A11085,R04104,19CS,2.52
A11085/R07178,A11085,R07178,19CS,2.94
A11085/R12148,A11085,R12148,19CS,2.455
A11085/RTx2942,A11085,RTx2942,19CS,2.315
A11085/RTx2944,A11085,RTx2944,19CS,2.55
AHF14/R07161,AHF14,R07161,19CS,3.255
AHF14/RTx2943,AHF14,RTx2943,19CS,3.19
AKS116/R02107,AKS116,R02107,19CS,2.59
AKS116/R08303,AKS116,R08303,19CS,2.95
AKS116/R12154,AKS116,R12154,19CS,2.185
