pedigree,female,male,env,blue
A05210/RTx2937,A05210,RTx2937,19CS,12.775
A05210/RTx2938,A05210,RTx2938,19CS,12.265
A05210/RTx2943,A05210,RTx2943,19CS,13.305
A05269/R01302,A05269,R01302,19CS,11.92
A05269/R05330,A05269,R05330,19CS,12.79
A05269/R07161,A05269,R07161,19CS,12.445
A05269/R08303,A05269,R08303,19CS,12.8
A05269/R08306,A05269,R08306,19CS,12.395
A05269/R11208,A05269,R11208,19CS,12.91
A05269/R12156,A05269,R12156,19CS,11.81
A05269/RTx2919,A05269,RTx2919,19CS,13.16
A05269/RTx2936,A05269,RTx2936,19CS,12.355
A05269/RTx2943,A05269,RTx2943,19CS,13.585
A05269/RTx2944,A05269,RTx2944,19CS,11.925
A06035/R03248,A06035,R03248,19CS,13.555
A06035/R05330,A06035,R05330,19CS,12.415
A06035/R12154,A06035,R12154,19CS,13.34
A06035/RTx2913,A06035,RTx2913,19CS,12.335
A06035/RTx2917,A06035,RTx2917,19CS,12.895
A06035/RTx2920,A06035,RTx2920,19CS,11.77
A06035/RTx2936,A06035,RTx2936,19CS,13.4
A06035/RTx2943,A06035,RTx2943,19CS,12.015
A06036/R04104,A06036,R04104,19CS,12.15
A06036/R08306,A06036,R08306,19CS,13.285
A06036/R11158,A06036,R11158,19CS,12.17
A06036/R12156,A06036,R12156,19CS,12.435
A06036/RTx2919,A06036,RTx2919,19CS,12.37
A06036/RTx2940,A06036,RTx2940,19CS,12.915
A07118/R07161,A07118,R07161,19CS,12.05
A07118/R08224,A07118,R08224,19CS,13.515
A07118/R08304,A07118,R08304,19CS,12.445
A07118/R12145,A07118,R12145,19CS,13.225
A07118/R12148,A07118,R12148,19CS,12.415
A07118/R12157,A07118,R12157,19CS,13.26
A07118/RTx2919,A07118,RTx2919,19CS,13.045
A07118/RTx2944,A07118,RTx2944,19CS,13.135
A07124/R01302,A07124,R01302,19CS,13.27
A07124/R04060,A07124,R04060,19CS,12.985
A07124/R05330,A07124,R05330,19CS,13.335
A07124/R05425,A07124,R05425,19CS,12.775
A07124/R07178,A07124,R07178,19CS,13.325
A07124/R11158,A07124,R11158,19CS,11.975
A07124/R11208,A07124,R11208,19CS,13.275
A07124/RTx2917,A07124,RTx2917,19CS,12.945
A07124/RTx2919,A07124,RTx2919,19CS,13.665
A07124/RTx2935,A07124,RTx2935,19CS,13.11
A07124/RTx2943,A07124,RTx2943,19CS,13.735
A08068/R03248,A08068,R03248,19CS,12.445
A08068/R07161,A08068,R07161,19CS,12.47
A08068/R11158,A08068,R11158,19CS,12.585
A08068/R12156,A08068,R12156,19CS,11.45
A08068/RTx2919,A08068,RTx2919,19CS,12.065
A08068/RTx2941,A08068,RTx2941,19CS,12.655
A08134/R02107,A08134,R02107,19CS,12.63
A08134/R04060,A08134,R04060,19CS,12.8
A08134/R05405,A08134,R05405,19CS,13.205
A08134/R07178,A08134,R07178,19CS,13.085
A08134/R08297,A08134,R08297,19CS,12.655
A08134/R11158,A08134,R11158,19CS,12.97
A08134/R12148,A08134,R12148,19CS,13.065
A08134/RTx2918,A08134,RTx2918,19CS,13.45
A08134/RTx2936,A08134,RTx2936,19CS,13.635
A08134/RTx2940,A08134,RTx2940,19CS,13.29
A08134/RTx2943,A08134,RTx2943,19CS,13.785
A08140/R04060,A08140,R04060,19CS,12.75
A08140/R04104,A08140,R04104,19CS,13.04
A08140/R05386,A08140,R05386,19CS,12.995
A08140/R07178,A08140,R07178,19CS,12.51
A08140/R08303,A08140,R08303,19CS,12.95
A08140/R12148,A08140,R12148,19CS,12.605
A08140/R12156,A08140,R12156,19CS,12.3
A08140/RTx2942,A08140,RTx2942,19CS,12.705
A08158/R01302,A08158,R01302,19CS,13.335
A08158/R03248,A08158,R03248,19CS,12.79
A08158/R05330,A08158,R05330,19CS,12.44
A08158/R07178,A08158,R07178,19CS,12.265
A08158/R08224,A08158,R08224,19CS,13.31
A08158/R12071,A08158,R12071,19CS,13.13
A08158/R12145,A08158,R12145,19CS,12.495
A08158/R12154,A08158,R12154,19CS,13.055
A08158/RTx2912,A08158,RTx2912,19CS,11.96
A08158/RTx2914,A08158,RTx2914,19CS,12.89
A08158/RTx2917,A08158,RTx2917,19CS,13.325
A08158/RTx2939,A08158,RTx2939,19CS,12.23
A11076/R04060,A11076,R04060,19CS,12.505
A11076/R07178,A11076,R07178,19CS,12.18
A11076/R08297,A11076,R08297,19CS,12.6
A11076/R12148,A11076,R12148,19CS,12.16
A11076/R12154,A11076,R12154,19CS,13.15
A11076/RTx2918,A11076,RTx2918,19CS,13.06
A11076/RTx2938,A11076,RTx2938,19CS,12.13
A11076/RTx2940,A11076,RTx2940,19CS,13.82
A11085/R02107,A11085,R02107,19CS,12.72
A11085/R03248,A11085,R03248,19CS,12.555
A11085/R04104,A11085,R04104,19CS,12.495
A11085/R07178,A11085,R07178,19CS,13.125
A11085/R12148,A11085,R12148,19CS,12.235
A11085/RTx2942,A11085,RTx2942,19CS,13
A11085/RTx2944,A11085,RTx2944,19CS,12.2
AHF14/R07161,AHF14,R07161,19CS,11.68
AHF14/RTx2943,AHF14,RTx2943,19CS,10.925
AKS116/R02107,AKS116,R02107,19CS,13.56
AKS116/R08303,AKS116,R08303,19CS,12.25
AKS116/R12154,AKS116,R12154,19CS,12.59
AKS116/RTx2917,AKS116,RTx2917,19CS,12.415
AKS116/RTx2920,AKS116,RTx2920,19CS,13.44
AKS116/RTx2936,AKS116,RTx2936,19CS,12.075
AKS116/RTx2940,AKS116,RTx2940,19CS,13.04
AKS116/RTx2942,AKS116,RTx2942,19CS,12.385
AKS116/RTx2944,AKS116,RTx2944,19CS,12.505
AKS117/R01302,AKS117,R01302,19CS,11.91
AKS117/R12148,AKS117,R12148,19CS,12.26
AKS117/RTx2914,AKS117,RTx2914,19CS,12.395
AKS117/RTx2942,AKS117,RTx2942,19CS,12.065
AKS118/R08303,AKS118,R08303,19CS,11.78
AKS118/R12156,AKS118,R12156,19CS,12
AKS118/RTx2912,AKS118,RTx2912,19CS,11.795
AKS118/RTx2916,AKS118,RTx2916,19CS,12.24
AKS118/RTx2918,AKS118,RTx2918,19CS,12.07
AKS118/RTx2935,AKS118,RTx2935,19CS,11.715
AKS118/RTx2943,AKS118,RTx2943,19CS,12.06
AKS119/R01302,AKS119,R01302,19CS,12.15
AKS119/R05386,AKS119,R05386,19CS,11.69
AKS119/R05393,AKS119,R05393,19CS,12.315
AKS119/R05512,AKS119,R05512,19CS,11.775
AKS119/R08304,AKS119,R08304,19CS,11.86
AKS119/RTx2914,AKS119,RTx2914,19CS,11.77
