112.0057 91.02736 6832.021
111.8813 90.99791 6844.559
111.9649 91.02542 6778.635
111.9218 91.02402 6735.969
112.0875 91.00261 6679.256
112.2072 91.00935 6714.144
112.3959 91.00859 6645.534
112.352 91.0077 6549.903
112.3398 91.01407 6557.044
112.2852 90.99189 6568.215
112.3282 90.93694 6636.443
112.1902 90.90405 6815.888
112.2641 90.88765 6765.156
112.2456 90.88458 6775.435
112.2461 90.91522 6725.364
112.2268 90.90178 6703.158
112.2745 90.91279 6698.977
112.2458 90.88238 6723.486
112.3057 90.88725 6774.474
112.4653 90.85616 6781.455
112.4471 90.88392 6789.927
112.3349 90.8566 6726.824
112.2659 90.89538 6706.443
112.2524 90.8948 6777.875
112.3767 90.85209 6754.904
112.4019 90.82339 6794.26
112.4239 90.79262 6831.742
112.7071 90.78966 6676.939
112.7044 90.7839 6684.112
112.65 90.80979 6587.256
112.8193 90.79153 6530.871
112.7905 90.75675 6528.54
112.7238 90.75352 6457.027
112.7839 90.76189 6435.145
112.7112 90.76033 6636.377
112.6677 90.73278 6477.716
112.7495 90.73186 6569.21
112.8244 90.7639 6649.903
112.7005 90.75284 6557.941
112.4944 90.78297 6524.403
112.4081 90.77128 6565.564
112.5113 90.7749 6676.278
112.3996 90.83677 6556.135
112.394 90.85105 6654.468
112.4283 90.80927 6491.833
112.3981 90.81983 6475.76
112.4983 90.82244 6421.058
112.3644 90.80911 6285.947
112.3944 90.80361 6232.325
112.3818 90.81663 6251.816
