"env","cor"
"19CS",0.603854602184255
"19TA",0.508706878481032
"20CS",0.627184662401513
"20LY",0.520436433245908
"19CS",0.583010623322548
"19TA",0.593840237429918
"20CS",0.698561312927624
"20LY",0.527975865907435
"19CS",0.606838727297884
"19TA",0.472509888706823
"20CS",0.624667886357845
"20LY",0.644001269412918
"19CS",0.585059467746075
"19TA",0.64509373229694
"20CS",0.666052341852602
"20LY",0.406243287136634
"19CS",0.524612329182878
"19TA",0.489700259521257
"20CS",0.665317925785864
"20LY",0.713198818341262
