"","traits","model","CV","grains","M","SD"
"86","fiber","M4","CV1","20LY",0.7691702477,0.0537121417671892
"87","fiber","M4","CV2","20CS",0.58589242685,0.0813248560309126
"88","fiber","M4","CV2","20LY",0.83262385845,0.0484932979717519
"89","fiber","M5","CV1","20CS",0.6287338208,0.0927900456218699
"90","fiber","M5","CV1","20LY",0.6159088634,0.071236953307784
"91","fiber","M5","CV2","20CS",0.74904302345,0.0421007563124256
"92","fiber","M5","CV2","20LY",0.64958001765,0.0733472382806629
"93","fiber","M6","CV1","20CS",0.76347734345,0.0663643533446081
"94","fiber","M6","CV1","20LY",0.73457750165,0.0820867964164864
"95","fiber","M6","CV2","20CS",0.8368985706,0.0553221717562551
"96","fiber","M6","CV2","20LY",0.80462598085,0.0522976469440165
"97","ph","M1","CV1","20CS",0.41305239475,0.106852081717597
"98","ph","M1","CV1","20LY",0.5452115412,0.0925221976734086
"99","ph","M1","CV2","20CS",0.7194627907,0.0919346308255083
"100","ph","M1","CV2","20LY",0.72926104345,0.0679860444957388
"101","ph","M2","CV1","20CS",0.4645958758,0.137303251517399
"102","ph","M2","CV1","20LY",0.39723487575,0.179942722390004
"103","ph","M2","CV2","20CS",0.7219108669,0.0835470060187094
"104","ph","M2","CV2","20LY",0.74932857435,0.0908079763328066
"105","ph","M3","CV1","20CS",0.35210040885,0.131181705984663
"106","ph","M3","CV1","20LY",0.3486713948,0.140536930432256
"107","ph","M3","CV2","20CS",0.49652981745,0.109145247686263
"108","ph","M3","CV2","20LY",0.4699811623,0.130548192594698
"109","ph","M4","CV1","20CS",0.23562821185,0.11848726072071
"110","ph","M4","CV1","20LY",0.33607311895,0.1613423394081
"111","ph","M4","CV2","20CS",0.3144443185,0.0823010305990204
"112","ph","M4","CV2","20LY",0.4731220791,0.116251849324224
"113","ph","M5","CV1","20CS",0.3135147035,0.108655628951069
"114","ph","M5","CV1","20LY",0.1924621669,0.102362418119846
"115","ph","M5","CV2","20CS",0.46432469725,0.134920482943268
"116","ph","M5","CV2","20LY",0.33221490415,0.104434620247916
"117","ph","M6","CV1","20CS",0.4844695633,0.151512479769389
"118","ph","M6","CV1","20LY",0.49755956255,0.114204124497876
"119","ph","M6","CV2","20CS",0.6850061895,0.100800012923842
"120","ph","M6","CV2","20LY",0.6916972726,0.119968444937289
"121","protein","M1","CV1","20CS",0.4641451259,0.10927959702682
"122","protein","M1","CV1","20LY",0.5196719172,0.0847718826779553
"123","protein","M1","CV2","20CS",0.56528582545,0.063446420787257
"124","protein","M1","CV2","20LY",0.58534332735,0.0808789798165652
"125","protein","M2","CV1","20CS",0.45016612495,0.103344900542106
"126","protein","M2","CV1","20LY",0.46668020715,0.0831850779315476
"127","protein","M2","CV2","20CS",0.5674531549,0.0977626369065055
"128","protein","M2","CV2","20LY",0.5987052277,0.0742107769459826
"129","protein","M3","CV1","20CS",0.73200368665,0.0561315444441973
"130","protein","M3","CV1","20LY",0.664355698,0.0816117110229936
